Buenos Aires		AR	07	871
Beijing		CN	22	781
Bogotá	Bogota	CO	34	511
Baghdad		IQ	07	481
Bangkok		TH	40	340
Bengaluru		IN	19	340
Busan		KR	10	245
Berlin		DE	16	228
Basrah		IQ	02	173
Belo Horizonte		BR	15	158
Brooklyn		US	NY	153
Borough of Queens		US	NY	151
Brasília	Brasilia	BR	07	147
Brisbane		AU	04	145
Beirut		LB	04	127
Bucharest		RO	10	125
Budapest		HU	05	116
Bandung		ID	30	113
Barcelona		ES	56	108
Bhopal		IN	35	106
Bekasi		ID	30	101
Bursa		TR	16	94
Belém	Belem	BR	16	93
Barranquilla		CO	04	92
Baotou		CN	20	86
Bamako		ML	01	86
Brazzaville		CG	12	85
Budta		PH	14	84
Belgrade		RS	SE	84
Benin City		NG	37	75
Baku		AZ	09	74
Brussels		BE	BRU	67
Baoding		CN	10	66
Benxi		CN	19	65
Birmingham		GB	ENG	65
Bishkek		KG	01	60
Bucheon-si		KR	13	56
Barquisimeto		VE	13	53
Bandar Lampung		ID	15	53
Bogor		ID	30	53
Boumerdas		DZ	40	52
Bhubaneshwar		IN	21	50
Bareilly		IN	36	49
Bağcılar	Bagcilar	TR	34	48
Bhiwandi		IN	16	47
Bulawayo		ZW	09	46
Benghazi		LY	69	43
Bhilai		IN	37	41
Baltimore		US	MD	41
Boston		US	MA	41
Borivli		IN	16	40
Benoni		ZA	06	40
Barnaul		RU	04	39
Blantyre		MW	S	38
Bahçelievler	Bahcelievler	TR	34	38
Bengbu		CN	01	38
Bīkaner	Bikaner	IN	24	38
Banjarmasin		ID	12	38
Bucaramanga		CO	26	38
Bouaké	Bouake	CI	90	37
Bhāvnagar	Bhavnagar	IN	09	36
Bahāwalpur	Bahawalpur	PK	04	36
Bremen		DE	03	36
Banqiao		TW	03	36
Bangui		CF	18	36
Beira		MZ	05	35
Bhayandar		IN	16	34
Bilimora		IN	09	34
Bhātpāra	Bhatpara	IN	28	32
Belford Roxo		BR	21	31
Bloemfontein		ZA	03	30
Bacolod City		PH	06	30
Boksburg		ZA	06	29
Bei’an	Bei'an	CN	08	29
Balikpapan		ID	14	28
Brampton		CA	08	28
Bristol		GB	ENG	28
Belgaum		IN	19	28
Bryansk		RU	10	28
Barcelona		VE	02	28
Bratislava		SK	02	28
Bokāro	Bokaro	IN	38	27
Biên Hòa	Bien Hoa	VN	43	27
Bamenda		CM	07	26
Bello		CO	02	26
Buraydah		SA	08	26
Bissau		GW	11	25
Bochum		DE	07	25
Betim		BR	15	25
Batman		TR	76	25
Bochum-Hordel		DE	07	25
Brno		CZ	78	24
Bydgoszcz		PL	73	24
Bologna		IT	05	24
Bhāgalpur	Bhagalpur	IN	34	24
Bobo-Dioulasso		BF	09	24
Bacoor		PH	40	23
Benito Juarez		MX	09	23
Bilbao		ES	59	23
Barinas		VE	05	23
Bandar Abbas		IR	11	23
Bakersfield		US	CA	23
Belgorod		RU	09	23
Bhimbar		PK	06	22
Bellary		IN	19	22
Bauru		BR	27	22
Bielefeld		DE	07	22
Bujumbura		BI	24	22
Bhīlwāra	Bhilwara	IN	24	21
Brahmapur		IN	21	21
Baicheng		CN	05	21
Bauchi		NG	46	21
Bonn		DE	07	20
Botshabelo		ZA	03	20
Bengkulu		ID	03	20
Butuan		PH	13	20
Biskra		DZ	19	20
Brakpan		ZA	06	20
Barddhamān	Barddhaman	IN	28	20
Brest		BY	01	20
Batikent		TR	68	20
Bradford		GB	ENG	19
Bārāsat	Barasat	IN	28	19
Bāli	Bali	IN	28	19
Blumenau		BR	26	19
Białystok	Bialystok	PL	81	19
Bafoussam		CM	08	19
Beihai		CN	16	19
Bilāspur	Bilaspur	IN	37	18
Batna		DZ	03	18
Bari		IT	13	18
Bahía Blanca	Bahia Blanca	AR	01	18
Braşov	Brasov	RO	09	18
Bab Ezzouar		DZ	01	18
Belfast		GB	NIR	18
Baguio		PH	15	18
Bijapur		IN	19	18
Buffalo		US	NY	17
Baranagar		IN	28	17
Bratsk		RU	20	17
Barueri		BR	27	16
Borūjerd	Borujerd	IR	23	16
Banda Aceh		ID	01	16
Bukhara		UZ	02	16
Braunschweig		DE	06	16
Bago		MM	16	16
Bihār	Bihar	IN	34	16
Baruta		VE	15	16
Bhatinda		IN	23	16
Berbera		SO	20	16
Buenaventura		CO	29	16
Balıkesir	Balikesir	TR	10	15
Bārāsat	Barasat	IN	28	15
Batangas		PH	40	15
Boa Vista		BR	25	15
Bordeaux		FR	75	15
Baton Rouge		US	LA	15
Bharatpur		IN	24	15
Binjai		ID	26	15
Bexley		GB	ENG	15
Bukavu		CD	12	15
Blagoveshchensk		RU	05	14
Banja Luka		BA	02	14
Babruysk		BY	06	14
Badalona		ES	56	14
Binangonan		PH	40	14
Bertoua		CM	04	14
Biysk		RU	04	14
Bergen		NO	07	14
Brăila	Braila	RO	08	14
Būkān	Bukan	IR	01	14
Bukit Mertajam		MY	09	14
Birmingham		US	AL	14
Bogra		BD	83	14
Buenavista		MX	15	13
Bīdar	Bidar	IN	19	13
Bayamón	Bayamon	PR	021	13
Burnaby		CA	02	13
Bābol	Babol	IR	35	13
Burhānpur	Burhanpur	IN	35	13
Barisāl	Barisal	BD	85	13
Balakovo		RU	67	13
Bila Tserkva		UA	13	13
Bulandshahr		IN	36	13
Bīrjand	Birjand	IR	41	13
Burgas		BG	39	13
Başakşehir	Basaksehir	TR	34	12
Bayamo		CU	09	12
Bojnūrd	Bojnurd	IR	43	12
Barrancabermeja		CO	26	12
Bhiwāni	Bhiwani	IN	10	12
Banī Suwayf	Bani Suwayf	EG	18	12
Bytom		PL	83	12
Boyeros		CU	02	12
Baiyin		CN	15	12
Beersheba		IL	01	12
Brescia		IT	09	12
Būrewāla	Burewala	PK	04	12
Baishan		CN	05	12
Bhusāval	Bhusaval	IN	16	12
Blida		DZ	20	12
Birātnagar	Biratnagar	NP	ER	12
Bahraigh		IN	36	12
Barrie		CA	08	12
Baharampur		IN	28	12
Burgos		ES	55	11
Bielsko-Biala		PL	83	11
Bella Vista		DO	34	11
Brownsville		US	TX	11
Bo		SL	03	11
Bozhou		CN	01	11
Bhind		IN	35	11
Bata		GQ	08	11
Bida		NG	31	11
Bacău	Bacau	RO	04	11
Bahir Dar		ET	46	11
Baranovichi		BY	01	11
Bordj Bou Arreridj		DZ	39	11
Berezniki		RU	90	11
Breda		NL	06	11
Banhā	Banha	EG	12	11
Beni Mellal		MA	56	11
Bandar-e Būshehr	Bandar-e Bushehr	IR	22	11
Banjaran		ID	30	10
Basel		CH	BS	10
Burlington		CA	08	10
Bejaïa	Bejaia	DZ	18	10
Barra Mansa		BR	21	10
Bhadrāvati	Bhadravati	IN	19	10
Bournemouth		GB	ENG	10
Büyükçekmece	Bueyuekcekmece	TR	34	10
Budaun		IN	36	10
Bawshar		OM	06	10
Bibirevo		RU	48	10
Barreiras		BR	05	10
Batu Pahat		MY	01	10
Beipiao		CN	19	10
Butembo		CD	11	10
Bené Beraq	Bene Beraq	IL	05	10
Bahādurgarh	Bahadurgarh	IN	10	10
Boshan		CN	25	10
Bharūch	Bharuch	IN	09	10
Baqubah		IQ	10	10
Bānda	Banda	IN	36	10
Bảo Lộc	Bao Loc	VN	23	10
Bintulu		MY	11	10
Benguela		AO	01	10
Battambang		KH	29	10
Bago City		PH	06	10
Balashikha		RU	47	10
Badajoz		ES	57	9
Bārākpur	Barakpur	IN	28	9
Kreuzberg	Bezirk Kreuzberg	DE	16	9
Buôn Ma Thuột	Buon Ma Thuot	VN	88	9
Boise		US	ID	9
Batāla	Batala	IN	23	9
Brest		FR	53	9
Bridgeport		US	CT	9
Biryulëvo	Biryulevo	RU	48	9
Béchar	Bechar	DZ	38	9
Blackpool		GB	ENG	9
Bhīmavaram	Bhimavaram	IN	02	9
Bālurghāt	Balurghat	IN	28	9
Bolton		GB	ENG	9
Budapest XI. kerület	Budapest XI. keruelet	HU	05	9
Brighton		GB	ENG	9
Baia Mare		RO	32	9
Bitung		ID	31	9
Bhisho		ZA	05	9
Baia Mare		RO	25	9
Baliuag		PH	03	9
Buguma		NG	50	9
Bielany		PL	78	8
Baturaja		ID	32	8
Bānkura	Bankura	IN	28	8
Bhuj		IN	09	8
Bīrganj	Birganj	NP	CR	8
