Cairo		EG	11	515
City of London		GB	ENG	503
Chongqing		CN	33	497
Chengdu		CN	32	494
Chennai		IN	25	288
Changchun		CN	05	279
Chittagong		BD	84	261
Cape Town		ZA	11	228
Casablanca		MA	45	209
Changsha		CN	11	206
Caracas		VE	25	200
Chicago		US	IL	179
Cali		CO	29	159
Camayenne		GN	04	124
Conakry		GN	04	117
Curitiba		BR	18	114
Ciudad Juárez	Ciudad Juarez	MX	06	100
Córdoba	Cordoba	AR	05	95
Ciudad Nezahualcoyotl		MX	15	82
Copenhagen		DK	17	76
Chelyabinsk		RU	13	70
Changshu City		CN	04	69
Campinas		BR	27	68
Calgary		CA	01	67
Chandigarh		IN	05	64
Coimbatore		IN	25	63
Cartagena		CO	35	63
Changzhou		CN	04	63
Chiba		JP	04	61
Cochabamba		BO	02	60
Callao		PE	07	54
Chihuahua		MX	06	53
Cebu City		PH	07	53
Çankaya	Cankaya	TR	68	52
Columbus		US	OH	52
Cotonou		BJ	14	52
Ciudad Guayana		VE	06	49
Charlotte		US	NC	48
Campo Grande		BR	11	48
Cúcuta	Cucuta	CO	21	48
City of Balikpapan		ID	14	46
Changzhi		CN	24	46
Culiacán	Culiacan	MX	25	45
Colombo		LK	36	43
Chişinău	Chisinau	MD	57	42
Cheongju-si		KR	05	42
Coyoacán	Coyoacan	MX	09	41
Contagem		BR	15	41
Cochin		IN	13	40
Cuttack		IN	21	38
Chiclayo		PE	14	38
Changwon		KR	20	36
Cancún	Cancun	MX	23	36
Cangzhou		CN	10	35
Cuiabá	Cuiaba	BR	14	34
Cuauhtémoc	Cuauhtemoc	MX	09	34
Ciudad López Mateos	Ciudad Lopez Mateos	MX	15	34
Changde		CN	11	34
Cimahi		ID	30	32
Cuautitlán Izcalli	Cuautitlan Izcalli	MX	15	31
Calabar		NG	22	30
Constantine		DZ	04	30
Chengde		CN	10	29
Cheboksary		RU	16	29
Cagayan de Oro		PH	10	29
Carrefour		HT	11	29
Chaozhou		CN	30	28
Colorado Springs		US	CO	27
Chaoyang		CN	19	27
Cleveland		US	OH	26
Comilla		BD	84	25
Campos		BR	21	25
Caxias do Sul		BR	23	25
Canberra		AU	01	24
Cheonan		KR	17	24
Christchurch		NZ	E9	24
Carapicuíba	Carapicuiba	BR	27	24
Campina Grande		BR	17	23
Camagüey	Camaguey	CU	05	23
Chifeng		CN	20	23
Cuernavaca		MX	17	22
Chitungwiza		ZW	10	22
Corrientes		AR	06	22
Ciudad Bolívar	Ciudad Bolivar	VE	06	22
Córdoba	Cordoba	ES	51	21
Chānda	Chanda	IN	16	21
Canoas		BR	23	21
Chongjin		KP	17	21
Ciudad del Este		PY	01	21
Chimbote		PE	02	21
Cluj-Napoca		RO	13	21
Calamba		PH	40	21
Cherepovets		RU	85	21
Coacalco		MX	15	20
Cusco		PE	08	20
Chita		RU	93	20
Coventry		GB	ENG	20
Chernihiv		UA	02	20
Chinju		KR	20	20
Celaya		MX	11	20
Corpus Christi		US	TX	20
Craiova		RO	17	20
