Delhi		IN	07	728
Dhaka		BD	81	690
Dongguan		CN	30	533
Dalian		CN	19	272
Durban		ZA	02	208
Dar es Salaam		TZ	23	179
Daegu		KR	15	171
Dakar		SN	01	165
Damascus		SY	13	104
Daejeon		KR	19	98
Douala		CM	05	89
Davao		PH	11	80
Depok		ID	30	79
Dallas		US	TX	79
Dombivli		IN	16	79
Dubai		AE	03	75
Datong		CN	24	70
Dnipropetrovsk		UA	04	68
Donetsk		UA	05	68
Dublin		IE	L	68
Denpasar		ID	02	55
Duque de Caxias		BR	21	54
Dammam		SA	06	51
Da Nang		VN	78	50
Detroit		US	MI	47
Dushanbe		TJ	7280679	45
Diyarbakır	Diyarbakir	TR	21	42
Dandong		CN	19	42
Djibouti		DJ	07	41
Denver		US	CO	40
Dortmund		DE	07	39
Düsseldorf	Duesseldorf	DE	07	38
Dehra Dūn	Dehra Dun	IN	39	34
Durgapur		IN	28	34
Duisburg		DE	07	33
Dresden		DE	13	32
Dadukou		CN	32	30
Dasmariñas	Dasmarinas	PH	40	29
Diadema		BR	27	26
Delmas 73		HT	11	25
Dezhou		CN	25	25
Dhūlia	Dhulia	IN	16	24
Diepsloot		ZA	06	23
Doha		QA	01	22
Denizli		TR	20	20
Darbhanga		IN	34	19
Dihok		IQ	08	18
Dewas		IN	35	17
Dzerzhinsk		RU	51	17
Durg		IN	37	17
Dire Dawa		ET	48	16
Dniprodzerzhyns’k	Dniprodzerzhyns'k	UA	04	16
Deir ez-Zor		SY	07	16
Djougou		BJ	13	15
Dera Ghazi Khan		PK	04	15
Derby		GB	ENG	15
Durham		US	NC	15
Damanhūr	Damanhur	EG	03	15
Diez de Octubre		CU	02	15
Dehiwala-Mount Lavinia		LK	36	14
Dhanbād	Dhanbad	IN	38	14
Daloa		CI	80	14
Daliang		CN	30	14
Dinājpur	Dinajpur	BD	87	13
Debrecen		HU	10	13
Daqing		CN	08	13
Des Moines		US	IA	13
Dindigul		IN	25	13
Dudley		GB	ENG	13
Ðà Lạt	Da Lat	VN	23	13
Divinópolis	Divinopolis	BR	15	12
Donghai		CN	30	12
Dún Laoghaire	Dun Laoghaire	IE	L	12
Dodoma		TZ	03	12
Dos Quebradas		CO	24	11
Dongling		CN	19	11
Daşoguz	Dasoguz	TM	03	11
Dourados		BR	11	10
Dhamār	Dhamar	YE	11	10
Djelfa		DZ	22	10
Dinapore		IN	34	10
Dingzhou		CN	10	10
Deyang		CN	32	10
Dundee		GB	SCT	10
Dili		TL	DI	10
Dijon		FR	27	9
Dunhua		CN	05	9
Dumai		ID	37	9
Dayton		US	OH	9
Darmstadt		DE	05	9
Dadu		PK	05	9
Dikirnis		EG	01	9
Dawei		MM	12	9
Desē	Dese	ET	46	9
Dimāpur	Dimapur	IN	20	9
Dali		CN	29	8
Dimitrovgrad		RU	81	8
Dawukou		CN	21	8
Dazhou		CN	32	8
Dąbrowa Górnicza	Dabrowa Gornicza	PL	83	8
Dongyang		CN	02	8
Dehri		IN	34	8
Deoria		IN	36	8
Daitōchō	Daitocho	JP	32	8
Darwin		AU	03	8
Divo		CI	88	8
Daska		PK	04	8
Danshui		CN	30	8
Dārjiling	Darjiling	IN	28	8
Dos Hermanas		ES	51	8
Dam Dam		IN	28	8
Dibrugarh		IN	03	8
Durrës	Durres	AL	42	8
Dordrecht		NL	11	7
Damoh		IN	35	7
Dasha		CN	30	7
Digos		PH	11	7
Dunedin		NZ	F7	7
Dharmavaram		IN	02	7
Dumaguete		PH	07	7
Denton		US	TX	7
Douma		SY	08	7
Downey		US	CA	7
Daugavpils		LV	07	7
Dongtai		CN	04	7
Delicias		ES	52	7
Dongxing		CN	08	7
Dehui		CN	05	7
Dharān Bāzār	Dharan Bazar	NP	ER	7
Dagenham		GB	ENG	7
Derbent		RU	17	7
Daxing		CN	22	6
Douliu		TW	04	6
Depok		ID	10	6
Dolisie		CG	07	6
Dhaulpur		IN	24	6
Drobeta-Turnu Severin		RO	26	6
Disūq	Disuq	EG	21	6
Delta		CA	02	6
Dera Ismāīl Khān	Dera Ismail Khan	PK	03	6
Dartmouth		CA	07	6
Daly City		US	CA	6
Dongsheng		CN	20	6
Davenport		US	IA	6
Dhahran		SA	06	6
Dearborn		US	MI	6
Dukuhturi		ID	07	6
Dar‘ā	Dar'a	SY	06	6
Deventer		NL	15	6
Djounie		LB	05	6
Dschang		CM	08	6
Ducheng		CN	30	6
Delft		NL	11	6
Dobrich		BG	40	6
Dogonbadan		IR	05	6
Dipolog		PH	09	6
Düren	Dueren	DE	07	6
Dalai		CN	05	6
Dhangarhi		NP	FR	6
Dongcun		CN	25	6
Dīsa	Disa	IN	09	6
Delmas		ZA	07	6
Duitama		CO	36	6
Danjiangkou		CN	12	6
Davie		US	FL	6
Duyun		CN	18	6
Drammen		NO	04	6
Datia		IN	35	6
Duobao		CN	12	6
Deoband		IN	36	5
Deqing		CN	02	5
Darlington		GB	ENG	5
Dhamtari		IN	37	5
Duluth		US	MN	5
Dengzhou		CN	25	5
Deltona		US	FL	5
Daxi		TW	04	5
Dundee		ZA	02	5
Dazhong		CN	04	5
Dohad		IN	09	5
Derry		GB	NIR	5
David		PA	02	5
Dhār	Dhar	IN	35	5
Dhorāji	Dhoraji	IN	09	5
Danbury		US	CT	5
Dashiqiao		CN	19	5
Dorsten		DE	07	5
Drohobych		UA	15	5
Darnah		LY	70	5
Dod Ballāpur	Dod Ballapur	IN	19	5
Dondo		MZ	05	5
Daura		NG	44	5
Daet		PH	05	5
Daltonganj		IN	38	5
Dessau		DE	14	5
Dhuliān	Dhulian	IN	28	5
Damietta		EG	20	5
Decatur		US	IL	5
Delmenhorst		DE	06	5
Dhrāngadhra	Dhrangadhra	IN	09	5
Deerfield Beach		US	FL	5
Dakhla		EH	CE	5
Dīpālpur	Dipalpur	PK	04	4
Darhan		MN	23	4
Detmold		DE	07	4
Dausa		IN	24	4
Dongdu		CN	25	4
Dachnoye		RU	66	4
Dongkan		CN	04	4
Dingcheng		CN	09	4
Dharapuram		IN	25	4
Dārayyā	Darayya	SY	08	4
Delgado		SV	10	4
Donggongon		MY	16	4
Dunkerque		FR	32	4
Dādri	Dadri	IN	36	4
Dazaifu		JP	07	4
Dinslaken		DE	07	4
Delfshaven		NL	11	4
Danao		PH	07	4
Doğubayazıt	Dogubayazit	TR	04	4
Dainava (Kaunas)		LT	57	4
Dehdasht		IR	05	4
Dabou		CI	82	4
Denov		UZ	12	4
Dolgoprudnyy		RU	47	4
Dorogomilovo		RU	47	4
Dongfeng		CN	05	4
Deva		RO	21	4
