Foshan		CN	30	240
Faisalābād	Faisalabad	PK	04	167
Fortaleza		BR	06	160
Fushun		CN	19	93
Fukuoka		JP	07	92
Farīdābād	Faridabad	IN	10	81
Fuzhou		CN	07	78
Fes		MA	46	64
Freetown		SL	04	53
Fort Worth		US	TX	49
Fuxin		CN	19	45
Frankfurt am Main		DE	05	43
Fresno		US	CA	32
Feira de Santana		BR	05	32
Florianópolis	Florianopolis	BR	26	27
Fujisawa		JP	19	26
Fukuyama		JP	11	25
Fenghuang		CN	11	24
Florence		IT	16	23
Fīrozābād	Firozabad	IN	36	20
Franca		BR	27	20
Fukushima		JP	08	19
Foz do Iguaçu	Foz do Iguacu	BR	18	19
Fort Wayne		US	IN	16
Floridablanca		CO	26	16
Fukui-shi		JP	06	16
Farrukhābād	Farrukhabad	IN	36	16
Fuji		JP	37	16
Fendou		CN	08	15
Formosa		AR	09	14
Fuencarral-El Pardo		ES	29	14
Freiburg		DE	01	14
Fremont		US	CA	14
Fayetteville		US	NC	13
Fuenlabrada		ES	29	13
Fontana		US	CA	13
Francisco Morato		BR	27	11
Fuyang		CN	01	11
Ferraz de Vasconcelos		BR	27	11
Fianarantsoa		MG	7670905	11
Fuling		CN	33	11
Fatehpur		IN	36	11
Fort Lauderdale		US	FL	11
Fendou		CN	08	10
Fergana		UZ	03	10
Fès al Bali	Fes al Bali	MA	46	10
Fyzābād	Fyzabad	IN	36	10
Fort Collins		US	CO	9
Fuyu		CN	05	9
Foggia		IT	13	9
Funtua		NG	24	9
Fullerton		US	CA	9
Fujieda		JP	37	8
Florencia		CO	08	8
Fujinomiya		JP	37	8
Fengcheng		CN	19	8
Fernando de la Mora		PY	06	8
Friedrichshain	Friedrichshain Bezirk	DE	16	7
Frisco		US	TX	7
Farīdpur	Faridpur	BD	81	7
Fürth	Furth	DE	02	7
Franco da Rocha		BR	27	7
Fukayachō	Fukayacho	JP	34	7
Fargo		US	ND	7
Fresnillo		MX	32	7
Fairfield		US	CA	7
Flint		US	MI	6
Ferozepore		IN	23	6
Funchal		PT	10	6
Fasā	Fasa	IR	07	6
Fangshan		CN	22	6
Frederiksberg		DK	17	6
Facatativá	Facatativa	CO	33	6
Forlì	Forli	IT	05	6
Ferrara		IT	05	6
Foumban		CM	08	6
Fort-de-France		MQ	MQ	5
Francistown		BW	08	5
Fujin		CN	08	5
Federal Way		US	WA	5
Fall River		US	MA	5
Fusagasuga		CO	33	5
Fort Smith		US	AR	5
Flensburg		DE	10	5
Fkih Ben Salah		MA	56	5
Foumbot		CM	08	5
Feni		BD	84	5
Fatehpur		IN	24	5
Fatsa		TR	52	5
Formosa		BR	29	5
Feicheng		CN	25	5
Fili		RU	47	5
Farmington Hills		US	MI	5
Feicheng		CN	25	5
Farīdkot	Faridkot	IN	23	5
Focșani	Focsani	RO	40	5
Fishers		US	IN	5
Fenghua		CN	02	5
Fylde		GB	ENG	5
Furukawa		JP	24	5
Fort McMurray		CA	01	5
Fuyu		CN	08	5
Ferrol		ES	58	4
Fuentes del Valle		MX	15	4
Fayetteville		US	AR	4
Fredrikstad		NO	13	4
Finlyandskiy		RU	42	4
Folsom		US	CA	4
Feodosiya		UA	11	4
Farīdpur	Faridpur	IN	36	4
Fuengirola		ES	51	4
Fiditi		NG	32	4
Fāzilka	Fazilka	IN	23	4
Fuyang		CN	02	4
Fordon		PL	73	4
Fukuchiyama		JP	22	4
Framingham		US	MA	4
Fuqing		CN	07	4
Fengkou		CN	12	4
Fīrūzābād	Firuzabad	IR	07	4
Fatehābād	Fatehabad	IN	10	4
Flagstaff		US	AZ	4
Framingham Center		US	MA	4
Frederick		US	MD	4
Fengrun		CN	10	4
Flower Mound		US	TX	4
Fulda		DE	05	4
Florence-Graham		US	CA	4
Fujioka		JP	10	4
Frenda		DZ	13	4
Fuwwah		EG	21	4
Fuding		CN	07	4
Fukuroi		JP	37	4
Florida		CU	05	4
Fāqūs	Faqus	EG	14	4
Franklin		US	TN	4
Fochville		ZA	10	4
Fort Myers		US	FL	4
Fussa		JP	40	4
Ferkessédougou	Ferkessedougou	CI	87	4
Fernandópolis	Fernandopolis	BR	27	4
Fier-Çifçi	Fier-Cifci	AL	44	4
Fethiye		TR	48	4
Farnborough		GB	ENG	3
Fountainebleau		US	FL	3
Ferizaj		XK	10096138	3
Frýdek-Místek	Frydek-Mistek	CZ	85	3
Fundación	Fundacion	CO	38	3
Fuli		CN	08	3
Fairfield		US	CT	3
Fenyi		CN	03	3
Fort Beaufort		ZA	05	3
Friedrichshafen		DE	01	3
Fāraskūr	Faraskur	EG	20	3
Farroupilha		BR	23	3
Francisco Beltrão	Francisco Beltrao	BR	18	3
Fareham		GB	ENG	3
Fuxin		CN	19	3
Fengxian		CN	04	3
Formiga		BR	15	3
Fier		AL	44	3
Fountain Valley		US	CA	3
Funza		CO	33	3
Farshūţ	Farshut	EG	23	3
Fryazevo		RU	47	3
Fréjus	Frejus	FR	93	3
Fredericton		CA	04	3
Fryazino		RU	47	3
Florissant		US	MO	3
Fontenay-sous-Bois		FR	11	3
Frankfurt (Oder)		DE	11	3
Futtsu		JP	04	3
Fastiv		UA	13	3
Flagami		US	FL	3
Fuchūchō	Fuchucho	JP	11	3
Falāvarjān	Falavarjan	IR	28	3
Friedrichsfelde		DE	16	3
Frechen		DE	07	3
Floriano		BR	20	3
Foligno		IT	18	3
Florin		US	CA	3
Frankenthal		DE	08	3
Florida		CO	29	3
Folkestone		GB	ENG	3
Farmington		US	NM	3
Fort Dauphin		MG	7670910	3
Forbesganj		IN	34	3
Frosinone		IT	07	2
Fayzabad		AF	01	2
Fria		GN	B	2
Fellbach		DE	01	2
Freiberg		DE	13	2
Farah		AF	06	2
Filderstadt		DE	01	2
Fundong		CM	07	2
Figueres		ES	56	2
Fond du Lac		US	WI	2
Franceville		GA	02	2
Freeport		US	NY	2
Fontem		CM	09	2
Fort Portal		UG	W	2
Freising		DE	02	2
Famagusta		CY	01	2
Fairfield		US	OH	2
Fengxiang		CN	08	2
Faenza		IT	05	2
Fatwa		IN	34	2
Fort Pierce		US	FL	2
Faro		PT	09	2
Findlay		US	OH	2
Frutal		BR	15	2
Frolovo		RU	84	2
Fort Abbās	Fort Abbas	PK	04	2
Fitchburg		US	MA	2
Farrukhnagar		IN	40	2
Fabijoniškės	Fabijoniskes	LT	65	2
Florence		US	AL	2
Freital		DE	13	2
Fano		IT	10	2
Furmanov		RU	21	2
Faratsiho		MG	7670854	2
Falkensee		DE	11	2
Florence		US	SC	2
Farnham		GB	ENG	2
Fredericia		DK	21	2
Falun		SE	10	2
Friendswood		US	TX	2
Falkenhagener Feld		DE	16	2
Franklin		US	WI	2
Fort Lee		US	NJ	2
Funaishikawa		JP	14	2
Fraccionamiento Real Palmas		MX	19	2
