Hong Kong		HK	HCW	467
Hangzhou		CN	02	416
Harbin		CN	08	391
Hyderabad		IN	40	239
Ho Chi Minh City		VN	20	231
Hefei		CN	01	220
Havana		CU	02	144
Houston		US	TX	139
Hamburg		DE	04	115
Harare		ZW	10	102
Hanoi		VN	44	95
Hyderabad		PK	05	92
Handan		CN	10	90
Hiroshima		JP	11	76
Hāora	Haora	IN	28	68
Huainan		CN	01	68
Huaibei		CN	01	60
Hubli		IN	19	56
Homs		SY	11	51
Hohhot		CN	20	51
Hengyang		CN	11	50
Hegang		CN	08	49
Huangshi		CN	12	45
Haikou		CN	31	41
Hamamatsu		JP	37	40
Haiphong		VN	13	40
Hermosillo		MX	26	39
Hachiōji	Hachioji	JP	40	38
Honchō	Honcho	JP	04	37
Hamhŭng	Hamhung	KP	03	37
Helsinki		FI	01	37
Huai'an		CN	04	37
Hamadān	Hamadan	IR	09	35
Hamilton		CA	08	34
Hannover		DE	06	34
Himeji		JP	13	32
Hargeysa		SO	20	31
Hwaseong-si		KR	13	31
Ḩamāh	Hamah	SY	10	30
Hengshui		CN	10	30
Heroica Matamoros		MX	28	29
Hirakata		JP	32	27
Hsinchu		TW	04	26
Huancayo		PE	12	25
Honolulu		US	HI	24
Halifax		CA	07	23
Hualien City		TW	04	23
Hŭngnam	Hungnam	KP	03	23
Holguín	Holguin	CU	12	21
Hrodna		BY	03	21
Hull		GB	ENG	20
Hisar		IN	10	19
Huizhou		CN	30	19
Huế	Hue	VN	66	19
Hamburg-Nord		DE	04	18
Horlivka		UA	05	18
Hakodate		JP	12	18
Herāt	Herat	AF	11	18
Haifa		IL	04	17
Ha'il		SA	13	17
Hulan Ergi		CN	08	17
Hiratsuka		JP	19	17
Henderson		US	NV	17
Heze		CN	25	16
Hebi		CN	09	16
Hāpur	Hapur	IN	36	16
Halle Neustadt		DE	14	16
Hachinohe		JP	03	15
Halle (Saale)		DE	14	15
Hamburg-Mitte		DE	04	15
Ḩalwān	Halwan	EG	11	15
Huambo		AO	08	15
Huanggang		CN	30	15
Hialeah		US	FL	14
Haeju		KP	06	14
Hobart		AU	06	14
Hailar		CN	20	14
Hangu		CN	28	13
Hortolândia	Hortolandia	BR	27	13
Harburg		DE	04	13
Hagen		DE	07	13
Hospet		IN	19	13
Hyesan-si		KP	13	12
Humen		CN	30	12
Hat Yai		TH	68	12
Haicheng		CN	19	12
Huntington Beach		US	CA	12
Hitachi		JP	14	12
Haridwar		IN	39	12
Hamm		DE	07	12
Huntsville		US	AL	12
Habana del Este		CU	02	11
Hugli		IN	28	11
Hirosaki		JP	03	11
Hadano		JP	19	11
Herne		DE	07	11
Hino		JP	40	11
Haldia		IN	28	11
Horta-Guinardó	Horta-Guinardo	ES	56	11
Hollywood		US	CA	11
H̱olon	Holon	IL	05	11
Ḩawallī	Hawalli	KW	08	10
Hortaleza		ES	29	10
Hebron		PS	WE	10
Huzhou		CN	02	10
Hitachi-Naka		JP	14	10
Hanumāngarh	Hanumangarh	IN	24	10
Hāfizābād	Hafizabad	PK	04	10
Hamilton		NZ	G1	10
Higashimurayama-shi		JP	40	10
Huangyan		CN	02	10
Huddersfield		GB	ENG	9
Huelva		ES	51	9
Honggang		CN	08	9
Huánuco	Huanuco	PE	10	9
Haarlem		NL	07	9
Hanzhong		CN	26	9
Hayward		US	CA	9
Heidelberg		DE	01	9
Hollywood		US	FL	9
Hazārībāg	Hazaribag	IN	38	9
Haldwani		IN	39	9
Hābra	Habra	IN	28	9
Huadian		CN	05	9
Hampton		US	VA	9
Hami		CN	13	9
Hinthada		MM	03	8
Hanam		KR	13	8
Hājīpur	Hajipur	IN	34	8
Hindupur		IN	02	8
Hawassa		ET	54	8
Hoofddorp		NL	07	8
Hepo		CN	30	8
Hassan		IN	19	8
Hālīsahar	Halisahar	IN	28	8
Huaihua		CN	11	8
Hāthras	Hathras	IN	36	8
Huicheng		CN	30	8
Haimen		CN	30	8
Huixquilucan		MX	15	8
Hartford		US	CT	8
Hagonoy		PH	03	8
Hardoī	Hardoi	IN	36	8
Huangzhou		CN	12	8
Heilbronn		DE	01	8
Hōfu	Hofu	JP	45	7
Handa		JP	01	7
Hotan		CN	13	7
Haikou		CN	29	7
Hikone		JP	35	7
Hadejia		NG	39	7
Hailun		CN	08	7
Heihe		CN	08	7
Hoshangābād	Hoshangabad	IN	35	7
Hulan		CN	08	7
Hwado		KR	13	7
High Point		US	NC	6
Hosūr	Hosur	IN	25	6
Heroica Guaymas		MX	26	6
Hildesheim		DE	06	6
Hidalgo del Parral		MX	06	6
Horad Barysaw		BY	05	6
Habboûch	Habbouch	LB	07	6
Hyesan-dong		KP	13	6
Hechuan		CN	33	6
Hinganghāt	Hinganghat	IN	16	6
Highlands Ranch		US	CO	6
Hurghada		EG	02	6
Hindaun		IN	24	6
Hradec Králové	Hradec Kralove	CZ	82	6
Harlow		GB	ENG	6
Heyuan		CN	30	6
Heerlen		NL	05	6
High Peak		GB	ENG	6
Huazhou		CN	30	6
Hillsboro		US	OR	6
Helsingborg		SE	27	6
Hanting		CN	25	6
Harar		ET	50	6
Huddinge		SE	26	6
Hesperia		US	CA	6
Huaidian		CN	09	5
Huaicheng		CN	30	5
Hongsung		KR	17	5
Hede		CN	04	5
Hastings		GB	ENG	5
Habiganj		BD	86	5
Hanau am Main		DE	05	5
Hāsilpur	Hasilpur	PK	04	5
Hanchuan		CN	12	5
Harrogate		GB	ENG	5
Hacienda Santa Fe		MX	14	5
Huaraz		PE	02	5
Hartlepool		GB	ENG	5
Hamakita		JP	37	5
Hannō	Hanno	JP	34	5
Helong		CN	05	5
Hemel Hempstead		GB	ENG	5
Hailin		CN	08	5
Ḩawsh ‘Īsá	Hawsh `Isa	EG	03	5
Hetauda		NP	CR	5
Hawthorne		US	CA	5
Hilversum		NL	07	5
Herzliyya		IL	05	5
Hecun		CN	10	5
Havířov	Havirov	CZ	85	5
Halifax		GB	ENG	5
Hānsi	Hansi	IN	10	5
Hoover		US	AL	5
Hammond		US	IN	5
Hengelo		NL	15	5
High Wycombe		GB	ENG	5
Haskovo		BG	43	5
Huehuetenango		GT	08	5
Heróica Zitácuaro	Heroica Zitacuaro	MX	16	5
Hemet		US	CA	5
Harihar		IN	19	5
Hakkari		TR	70	5
Huangmei		CN	12	5
Hatsukaichi		JP	11	5
Hunchun		CN	05	5
Huangshan		CN	01	5
Hingoli		IN	16	5
H̱adera	Hadera	IL	04	5
Hongch’ŏn	Hongch'on	KR	06	5
Hove		GB	ENG	5
Haninge		SE	26	4
Hellersdorf		DE	16	4
Huilong		CN	04	4
Helmond		NL	06	4
Hanamaki		JP	16	4
Haru Zbad		PK	04	4
Hongwŏn	Hongwon	KP	03	4
Ho		GH	08	4
Hasselt		BE	VLG	4
Hunedoara		RO	21	4
Hekinan		JP	01	4
Hoorn		NL	07	4
Heishan		CN	19	4
Harda Khās	Harda Khas	IN	35	4
Huinan		CN	05	4
Huanren		CN	19	4
Huanan		CN	08	4
Huaiyuan Chengguanzhen		CN	01	4
Herten		DE	07	4
Hepingjie		CN	05	4
Haveli		PK	04	4
Hasuda		JP	34	4
Herford		DE	07	4
Harlingen		US	TX	4
Hwawŏn	Hwawon	KR	15	4
Heidelberg		ZA	06	4
Hamma Bouziane		DZ	04	4
Houmt Souk		TN	28	4
Hamilton		US	OH	4
Huaral		PE	15	4
Hushitai		CN	19	4
Huoqiu Chengguanzhen		CN	01	4
Honjō	Honjo	JP	34	4
Hastings		NZ	F2	4
Hancheng		CN	09	4
Hujra		PK	04	4
Hita		JP	30	4
Horad Zhodzina		BY	05	4
Haverhill		US	MA	4
Himatnagar		IN	09	4
Homestead		US	FL	4
Hāveri	Haveri	IN	19	4
Hwasun		KR	16	3
Hamden		US	CT	3
Huazhou		CN	09	3
Hongjiang		CN	11	3
Haizhou		CN	04	3
Hanyū	Hanyu	JP	34	3
Hameln		DE	06	3
Hongqiao		CN	11	3
Hereford		GB	ENG	3
Huntington Park		US	CA	3
Hancheng		CN	26	3
Hardenberg		NL	15	3
Harsīn	Harsin	IR	13	3
Huangpi		CN	12	3
Hasanpur		IN	36	3
Ḩalabjah	Halabjah	IQ	05	3
Hashimoto		JP	43	3
Hendala		LK	36	3
Harīpur	Haripur	PK	03	3
Hattingen		DE	07	3
Hilden		DE	07	3
Hutang		CN	04	3
Honiara		SB	06	3
Hohoe		GH	08	3
Halmstad		SE	06	3
Halesowen		GB	ENG	3
Heilbron		ZA	03	3
Huangnihe		CN	05	3
Huyton		GB	ENG	3
Hürth	Huerth	DE	07	3
Huacho		PE	15	3
Himimachi		JP	42	3
Hacienda Heights		US	CA	3
Hanford		US	CA	3
Hempstead		US	NY	3
Hammamet		TN	19	3
Hiriyūr	Hiriyur	IN	19	3
Highland		US	CA	3
Hatogaya-honchō	Hatogaya-honcho	JP	34	3
Hassi Messaoud		DZ	50	3
Heroica Caborca		MX	26	3
Huesca		ES	52	3
Hoffman Estates		US	IL	3
Hendersonville		US	TN	3
Horizonte		BR	06	3
Hà Đông	Ha Dong	VN	44	3
Horsham		GB	ENG	3
Hyères	Hyeres	FR	93	3
Hua Hin		TH	57	3
Horsens		DK	18	3
Heidenheim an der Brenz		DE	01	3
Hoboken		US	NJ	3
Hpa-an		MM	05	3
Hayes		GB	ENG	3
Huauchinango		MX	21	3
Hadāli	Hadali	PK	04	3
Harrisburg		US	PA	3
Hvidovre		DK	17	3
Hof		DE	02	3
Huntington		US	WV	3
Hacienda La Calera		CL	01	3
Harrisonburg		US	VA	3
Hāla	Hala	PK	05	3
Hammam-Lif		TN	36	3
Hunsūr	Hunsur	IN	19	3
Hamilton		GB	SCT	3
Heerhugowaard		NL	07	3
Hódmezővásárhely	Hodmezovasarhely	HU	06	3
Herzogenrath		DE	07	3
Hämeenlinna	Haemeenlinna	FI	05	3
Huntersville		US	NC	3
Hattiesburg		US	MS	3
Huamantla		MX	29	3
Hikari		JP	45	3
Higashine		JP	44	3
Hamada		JP	36	3
Hālol	Halol	IN	09	3
Hasan Abdāl	Hasan Abdal	PK	04	3
Havant		GB	ENG	3
Hennef		DE	07	3
Hashtpar		IR	08	3
Huizen		NL	07	3
Hinckley		GB	ENG	3
Harpanahalli		IN	19	2
Herning		DK	18	2
Homburg		DE	09	2
Hājīganj	Hajiganj	BD	84	2
Hodal		IN	10	2
Hāgere Hiywet	Hagere Hiywet	ET	51	2
Hoeryŏng	Hoeryong	KP	17	2
Hagi		JP	45	2
Hoyerswerda		DE	13	2
Ḩajjah	Hajjah	YE	22	2
Hyvinge		FI	01	2
Hihyā	Hihya	EG	14	2
Hilo		US	HI	2
Hod HaSharon		IL	02	2
Heerenveen		NL	02	2
Hackensack		US	NJ	2
Heusden		NL	06	2
Haltom City		US	TX	2
Hutchinson		US	KS	2
Hennaya		DZ	15	2
Hisai-motomachi		JP	23	2
Huancavelica		PE	09	2
Hicksville		US	NY	2
Heinsberg		DE	07	2
Homnābād	Homnabad	IN	19	2
Holloway		GB	ENG	2
Hoskote		IN	19	2
Hilsa		IN	34	2
Hrazdan		AM	05	2
Hondo		JP	21	2
Harderwijk		NL	03	2
Haveliān	Havelian	PK	03	2
Hayang		KR	14	2
Haugesund		NO	14	2
Homa Bay		KE	17	2
Hưng Yên	Hung Yen	VN	81	2
Héliopolis	Heliopolis	DZ	23	2
Huejutla de Reyes		MX	13	2
Hickory		US	NC	2
Hà Tiên	Ha Tien	VN	21	2
Hāsimāra	Hasimara	IN	28	2
Hāflong	Haflong	IN	03	2
Holyoke		US	MA	2
Hückelhoven	Hueckelhoven	DE	07	2
Huaquillas		EC	08	2
Halberstadt		DE	14	2
Hagerstown		US	MD	2
Hinigaran		PH	06	2
Hoima		UG	W	2
Hamanoichi		JP	18	2
Hasaki		JP	04	2
Hoogeveen		NL	01	2
Haguenau		FR	44	2
Huntsville		US	TX	2
Hoppers Crossing		AU	07	2
Huber Heights		US	OH	2
Hanover		US	MD	2
Hitoyoshi		JP	21	2
Hanover Park		US	IL	2
Heist-op-den-Berg		BE	VLG	2
Houghton-Le-Spring		GB	ENG	2
Haltern		DE	07	2
Hofheim am Taunus		DE	05	2
Hemer		DE	07	2
Ḩarastā	Harasta	SY	08	2
Hurst		US	TX	2
Hallandale Beach		US	FL	2
Hilton Head Island		US	SC	2
Hanawa		JP	02	2
Hojāi	Hojai	IN	03	2
Hørsholm	Horsholm	DK	17	2
Herne Bay		GB	ENG	2
Houndé	Hounde	BF	09	2
Herstal		BE	WAL	2
Hövsan	Hovsan	AZ	09	2
Heemskerk		NL	07	2
Hangu		PK	03	2
Heung-hai		KR	14	2
Hato Mayor del Rey		DO	29	2
Hammam Bou Hadjar		DZ	36	2
Hwangju-ŭp	Hwangju-up	KP	07	2
Hınıs	Hinis	TR	25	2
Hlukhiv		UA	21	2
Humenné	Humenne	SK	05	2
Hendek		TR	54	2
Hot Springs National Park		US	AR	2
Hot Springs		US	AR	2
Hoddesdon		GB	ENG	2
Harrismith		ZA	03	2
Helsingør	Helsingor	DK	17	2
Hollister		US	CA	2
Homagama		LK	36	2
Halle		BE	VLG	2
Hoboken		BE	VLG	2
Hirara		JP	47	2
Hamīrpur	Hamirpur	IN	36	2
Hobbs		US	NM	2
Horki		BY	06	2
Hammam Sousse		TN	23	2
Hitchin		GB	ENG	2
Houma		US	LA	2
Hermosa		PH	03	2
Hinesville		US	GA	2
Hwange		ZW	06	2
Hotaka		JP	26	2
Holland		US	MI	2
Huntington Station		US	NY	2
Hội An	Hoi An	VN	84	2
Höxter	Hoexter	DE	07	2
Harper		LR	13	2
Ḩayy Quwaysimah	Hayy Quwaysimah	JO	16	2
Houten		NL	09	2
Holstebro		DK	18	2
Hajdúböszörmény	Hajduboszormeny	HU	10	2
Hyde		GB	ENG	2
Hīt	Hit	IQ	01	2
Hopkinsville		US	KY	2
Herrenberg		DE	01	2
