İstanbul	Istanbul	TR	34	744
Ibadan		NG	32	237
Incheon		KR	12	175
İzmir	Izmir	TR	35	166
Indore		IN	35	122
Iztapalapa		MX	09	121
Isfahan		IR	28	103
Indianapolis		US	IN	55
Ilorin		NG	30	54
Ipoh		MY	07	44
Izhevsk		RU	80	42
Islamabad		PK	08	40
Irkutsk		RU	20	39
Iquitos		PE	16	29
Ibagué	Ibague	CO	28	28
Ivanovo		RU	21	28
Iloilo		PH	06	25
Iztacalco		MX	09	25
Iwaki		JP	08	23
Ixtapaluca		MX	15	23
Irapuato		MX	11	22
Itaquaquecetuba		BR	27	22
Islington		GB	ENG	21
Iaşi	Iasi	RO	23	21
Ikeja		NG	05	20
Iligan City		PH	12	20
Irbid		JO	18	20
Ironville		US	KY	19
Ismailia		EG	07	18
Ichihara		JP	04	18
Iksan		KR	03	18
Itagüí	Itaguei	CO	02	18
Ichinomiya		JP	01	18
Ilesa		NG	42	18
Ichalkaranji		IN	16	18
Ibaraki		JP	32	18
Ikot Ekpene		NG	21	16
Iwo		NG	42	16
Ica		PE	11	16
Ibb		YE	23	15
Ipatinga		BR	15	15
Iquique		CL	15	15
Imphal		IN	17	14
Ikire		NG	42	14
Imperatriz		BR	13	14
Irving		US	TX	14
Imus		PH	40	14
Irvine		US	CA	14
Ijebu-Ode		NG	16	13
Itabuna		BR	05	13
Ivano-Frankivs’k	Ivano-Frankivs'k	UA	06	13
Itapevi		BR	27	13
İzmit	Izmit	TR	41	13
Icheon-si		KR	13	13
Itami		JP	13	12
Ise-Ekiti		NG	54	12
Izumi		JP	32	12
Itaboraí	Itaborai	BR	21	12
Indaiatuba		BR	27	11
Ila Orangun		NG	42	11
Isparta		TR	33	11
Ingrāj Bāzār	Ingraj Bazar	IN	28	11
Ijero-Ekiti		NG	54	11
Inisa		NG	42	10
İskenderun	Iskenderun	TR	31	10
Itajaí	Itajai	BR	26	10
Ilhéus	Ilheus	BR	05	10
Itapecerica da Serra		BR	27	10
Ipswich		GB	ENG	9
Ibirité	Ibirite	BR	15	9
Īlām	Ilam	IR	10	9
Itu		BR	27	9
Irákleion	Irakleion	GR	ESYE43	9
Igboho		NG	32	9
Ikirun		NG	42	8
İnegol	Inegol	TR	16	8
Idfū	Idfu	EG	16	8
Ibarra		EC	11	8
Īrānshahr	Iranshahr	IR	04	8
Isesaki		JP	10	8
Idlib		SY	12	8
Ivanovskoye		RU	48	8
Isiro		CD	09	8
Itapetininga		BR	27	8
Indramayu		ID	30	8
Ingolstadt		DE	02	8
Ilobu		NG	42	7
Ikoma		JP	28	7
Ishinomaki		JP	24	7
Independence		US	MO	7
Innsbruck		AT	07	7
Iguala de la Independencia		MX	12	7
Iringa		TZ	04	7
Inglewood		US	CA	7
Ijebu-Igbo		NG	16	7
Iwatsuki		JP	34	7
Iida		JP	26	7
Ilebo		CD	03	7
Idkū	Idku	EG	03	7
Iwakuni		JP	45	6
Izmaylovo		RU	47	6
Isehara		JP	19	6
Ikere-Ekiti		NG	54	6
Inazawa		JP	01	6
Itaguaí	Itaguai	BR	21	6
Itārsi	Itarsi	IN	35	6
Itabira		BR	15	6
Ikeda		JP	32	6
Iserlohn		DE	07	6
Isahaya		JP	27	6
Ise		JP	23	6
Iriga City		PH	05	6
Igbo-Ora		NG	32	6
Itanhaém	Itanhaem	BR	27	6
Isieke		NG	53	5
Izumo		JP	36	5
Iwata		JP	37	5
Ifo		NG	16	5
Igede-Ekiti		NG	54	5
Idanre		NG	48	5
Igarassu		BR	30	5
Ituiutaba		BR	15	5
Iwamizawa		JP	12	5
Ílion	Ilion	GR	ESYE31	5
Itaperuna		BR	21	5
Ihiala		NG	25	5
Izmayil		UA	17	5
Ipoti		NG	54	5
Ishurdi		BD	83	5
Itajubá	Itajuba	BR	15	5
Izumiōtsu	Izumiotsu	JP	32	5
Itumbiara		BR	29	5
Ikom		NG	22	5
Iizuka		JP	07	5
Ilioúpoli	Ilioupoli	GR	ESYE31	5
Ipiales		CO	20	5
Inowrocław	Inowroclaw	PL	73	5
Itaúna	Itauna	BR	15	5
Indio		US	CA	5
Iğdır	Igdir	TR	88	5
Igbo-Ukwu		NG	25	5
Igbara-Odo		NG	54	4
Inuyama		JP	09	4
Inhambane		MZ	03	4
Ilagan		PH	02	4
Itō	Ito	JP	37	4
Ijuí	Ijui	BR	23	4
Ishimbay		RU	08	4
Iguatu		BR	06	4
Isnā	Isna	EG	23	4
Idah		NG	41	4
Itatiba		BR	27	4
Iowa City		US	IA	4
Ishim		RU	78	4
I‘zāz	I`zaz	SY	09	4
Ioánnina	Ioannina	GR	ESYE21	4
Itauguá	Itaugua	PY	06	4
Itacoatiara		BR	04	4
Itaituba		BR	16	4
Imaichi		JP	38	4
Itabaiana		BR	28	4
Irecê	Irece	BR	05	4
Ichinoseki		JP	16	4
Itapeva		BR	27	4
Ina		JP	26	4
Iskitim		RU	53	4
Itapira		BR	27	4
Issy-les-Moulineaux		FR	11	4
Irvington		US	NJ	4
Ixtapa-Zihuatanejo		MX	12	4
Irun		ES	59	4
Itapetinga		BR	05	3
Imarichō-kō	Imaricho-ko	JP	33	3
Ivry-sur-Seine		FR	11	3
Ishikari		JP	12	3
Itoman		JP	47	3
Ilkal		IN	19	3
Idaho Falls		US	ID	3
Itapipoca		BR	06	3
