Karachi		PK	05	774
Kinshasa		CD	06	519
Kolkata		IN	28	308
Kunming		CN	29	257
Kano		NG	29	241
Kabul		AF	13	202
Kanpur		IN	36	188
Kiev		UA	12	186
Kowloon		HK	KKC	134
Khartoum		SD	29	131
Kaduna		NG	23	105
Kobe		JP	13	101
Kaohsiung		TW	02	101
Kumasi		GH	02	97
Kota Bharu		MY	03	97
Kyoto		JP	22	97
Kuala Lumpur		MY	14	96
Karaj		IR	44	96
Kathmandu		NP	CR	96
Kharkiv		UA	07	95
Kampala		UG	C	90
Khulna		BD	82	89
Kawasaki		JP	19	87
Kalyān	Kalyan	IN	16	84
Kazan		RU	73	73
Kitakyushu		JP	07	66
Köln	Koeln	DE	07	64
Kingston		JM	17	62
Krasnoyarsk		RU	91	61
Kaifeng		CN	09	60
Klang		MY	12	58
Konya		TR	71	58
Kampung Baru Subang		MY	12	55
Kahrīz	Kahriz	IR	13	51
Kota		IN	24	50
Kraków	Krakow	PL	77	50
Kigali		RW	12	49
Kumamoto		JP	21	45
Kryvyi Rih		UA	04	43
Krasnodar		RU	38	43
Kotli		PK	06	42
Kermānshāh	Kermanshah	IR	13	41
Kirkuk		IQ	13	40
Kayseri		TR	38	39
Khabarovsk		RU	30	38
Khabarovsk Vtoroy		RU	30	38
Kerman		IR	29	38
Kuching		MY	11	38
Kagoshima		JP	18	37
Kisangani		CD	09	35
Kolhāpur	Kolhapur	IN	16	34
Karol Bāgh	Karol Bagh	IN	07	33
Kalininskiy		RU	42	33
Kemerovo		RU	29	31
Kawaguchi		JP	34	31
Kananga		CD	03	30
Kansas City		US	MO	30
Kanazawa		JP	15	30
Karabağlar	Karabaglar	TR	35	30
Kirov		RU	33	30
Kota Kinabalu		MY	16	30
Karagandy		KZ	12	30
Kozhikode		IN	13	29
Kurashiki		JP	31	29
Kousséri	Kousseri	CM	12	29
Kaliningrad		RU	23	28
Karbala		IQ	12	28
Katsina		NG	24	28
Korba		IN	37	27
Kolwezi		CD	05	27
Kursk		RU	41	27
Kassala		SD	52	26
Kitwe		ZM	08	26
Khmel’nyts’kyy	Khmel'nyts'kyy	UA	09	26
Keelung		TW	04	26
Kollam		IN	13	26
Kandahār	Kandahar	AF	23	26
Khamis Mushait		SA	11	25
Krugersdorp		ZA	06	25
Kahramanmaraş	Kahramanmaras	TR	46	25
Kaunas		LT	57	24
Kenitra		MA	52	24
Kuantan		MY	06	24
Kwangmyŏng	Kwangmyong	KR	13	23
Kimhae		KR	20	23
Kosti		SD	41	23
Kurgan		RU	40	22
Kūkatpalli	Kukatpalli	IN	40	22
Kōriyama	Koriyama	JP	08	22
Kashiwa		JP	04	22
Kaluga		RU	25	22
Kaesŏng	Kaesong	KP	06	22
Kawagoe		JP	34	22
Krasnogvargeisky		RU	66	22
Kochi		JP	20	22
Kāmārhāti	Kamarhati	IN	28	22
Khorramshahr		IR	15	22
Khorramabad		IR	23	21
Kherson		UA	08	21
Koshigaya		JP	34	21
Katowice		PL	83	21
Kulti		IN	28	20
Kyzyl-Orda		KZ	14	20
Kyzylorda		KZ	14	20
Kasugai		JP	01	19
Kākināda	Kakinada	IN	02	19
Kasūr	Kasur	PK	04	19
Kuala Terengganu		MY	13	19
Karlsruhe		DE	01	18
Kupang		ID	18	18
Kostroma		RU	37	18
Khomeynī Shahr	Khomeyni Shahr	IR	28	18
Komsomolsk-on-Amur		RU	30	18
Kashgar		CN	13	18
Kāshān	Kashan	IR	28	18
Kakogawachō-honmachi	Kakogawacho-honmachi	JP	13	18
Kafr ad Dawwār	Kafr ad Dawwar	EG	03	17
Kirovohrad		UA	10	16
Kunsan		KR	03	16
Kurume		JP	07	15
Krefeld		DE	07	15
Košice	Kosice	SK	03	15
Kediri		ID	08	15
Kismayo		SO	09	15
Kitchener		CA	08	15
Kiel		DE	10	15
Karīmnagar	Karimnagar	IN	40	15
Kremenchuk		UA	18	15
Karnāl	Karnal	IN	10	15
Kharagpur		IN	28	14
Kisumu		KE	26	14
Kırıkkale	Kirikkale	TR	79	14
Kostanay		KZ	13	14
Kanggye-si		KP	01	13
Kielce		PL	84	13
Kasukabe		JP	34	13
Kishiwada		JP	32	13
Kamoke		PK	04	13
Kaiyuan		CN	29	13
Kure		JP	11	13
Kendari		ID	22	13
Kassel		DE	05	12
Katihar		IN	34	12
Klaipėda	Klaipeda	LT	58	12
Kōfu	Kofu	JP	46	12
Kabwe		ZM	02	12
Kultali		IN	28	12
Kikwit		CD	01	12
Kütahya	Kutahya	TR	43	12
Kushiro		JP	12	12
Khandwa		IN	35	12
Kamensk-Ural’skiy	Kamensk-Ural'skiy	RU	71	12
Kang-neung		KR	06	12
Korla		CN	13	11
Klerksdorp		ZA	10	11
Knoxville		US	TN	11
Kamirenjaku		JP	40	11
Kutaisi		GE	66	11
Khvoy		IR	01	11
Kramators’k	Kramators'k	UA	05	11
Khān Yūnis	Khan Yunis	PS	GZ	11
Kaolack		SN	10	11
Kulim		MY	02	11
Khammam		IN	40	11
Kluang		MY	01	11
Khouribga		MA	50	11
Korhogo		CI	87	11
Kamakura		JP	19	11
Khobar		SA	06	11
Kigoma		TZ	05	10
Kunduz		AF	24	10
Kawanishi		JP	13	10
Khoroshëvo-Mnevniki	Khoroshevo-Mnevniki	RU	47	10
Katsuta		JP	14	10
Kumagaya		JP	34	10
Kisi		NG	32	10
Kyonju		KR	14	10
Kānchipuram	Kanchipuram	IN	25	10
Kovrov		RU	83	10
Kerch		UA	11	10
Kohāt	Kohat	PK	03	10
Komaki		JP	01	10
Kızıltepe	Kiziltepe	TR	72	10
Kolomna		RU	47	9
Khon Kaen		TH	22	9
Kragujevac		RS	SE	9
Kalemie		CD	05	9
Krishnanagar		IN	28	9
Kansas City		US	KS	9
Kampung Pasir Gudang Baru		MY	01	9
Khŭjand	Khujand	TJ	03	9
Kumba		CM	09	9
Kafr ash Shaykh		EG	21	9
Kenema		SL	01	9
Kuz’minki	Kuz'minki	RU	48	9
Khimki		RU	48	9
Khānpur	Khanpur	PK	04	9
Kimberley		ZA	08	9
Kampung Sungai Ara		MY	09	9
Kaithal		IN	10	9
Korolev		RU	47	9
Kumbakonam		IN	25	9
Kariya		JP	01	9
Kolpino		RU	66	9
Kānchrāpāra	Kanchrapara	IN	28	9
Kabankalan		PH	06	9
Kushtia		BD	82	9
Kindu		CD	10	9
Kislovodsk		RU	70	8
Kakamigahara		JP	09	8
Kishangarh		IN	24	8
Kadoma		JP	32	8
Kisaran		ID	26	8
Kamyshin		RU	84	8
Khardah		IN	28	8
Killeen		US	TX	8
Kusatsu		JP	35	8
Klaten		ID	07	8
Khasavyurt		RU	17	8
Kolār	Kolar	IN	19	8
Koronadal		PH	12	8
Kelowna		CA	02	8
Khairpur		PK	05	8
Kashihara-shi		JP	28	8
Kokshetau		KZ	03	8
Kisarazu		JP	04	8
Karaman		TR	78	8
Kairouan		TN	03	7
Kokubunji		JP	40	7
Khlong Luang		TH	39	7
Kedungwuni		ID	07	7
Khanna		IN	23	7
Kindia		GN	D	7
Khenchela		DZ	47	7
Kingston		CA	08	7
Kankan		GN	K	7
Kitami		JP	12	7
Kaiyuan		CN	19	7
Kamālia	Kamalia	PK	04	7
Kandy		LK	29	7
Kiryū	Kiryu	JP	10	7
Kresek		ID	30	7
Kufa		IQ	17	7
Kecskemét	Kecskemet	HU	01	7
Kandi		BJ	07	7
Komatsu		JP	15	7
Kalisz		PL	86	7
Ksar El Kebir		MA	57	7
Katumba		TZ	09	7
Kyzyl		RU	79	7
Kunshan		CN	04	7
Koszalin		PL	87	7
Koblenz		DE	08	7
Khemisset		MA	49	7
Khurja		IN	36	7
Kot Addu		PK	04	6
Kara		TG	23	6
Kiselëvsk	Kiselevsk	RU	29	6
Kroonstad		ZA	03	6
Kashipur		IN	39	6
Khushāb	Khushab	PK	04	6
Kansk		RU	91	6
Kallithéa	Kallithea	GR	ESYE31	6
Kōnan	Konan	JP	01	6
Kūhdasht	Kuhdasht	IR	23	6
Kalmunai		LK	37	6
Kamieniec Podolski		UA	09	6
Kangding		CN	32	6
Kāsganj	Kasganj	IN	36	6
Koutiala		ML	06	6
Kenosha		US	WI	6
Kwekwe		ZW	02	6
Kontagora		NG	31	6
Kaiserslautern		DE	08	6
Karabük	Karabuk	TR	89	6
Kuje		NG	11	6
Kameoka		JP	22	6
Koforidua		GH	05	6
Kāshmar	Kashmar	IR	42	6
Khōst	Khost	AF	37	6
Kutloanong		ZA	03	6
Khargone		IN	35	6
Kanuma		JP	38	6
Kishanganj		IN	34	6
Khāmgaon	Khamgaon	IN	16	6
Kāzerūn	Kazerun	IR	07	6
Kırşehir	Kirsehir	TR	40	6
Kitakami		JP	16	6
Kombolcha		ET	46	6
Kalyani		IN	28	6
Kineshma		RU	21	6
Krasnogorsk		RU	47	6
Kapūrthala	Kapurthala	IN	23	6
Kaizuka		JP	32	6
Kent		US	WA	6
Kudus		ID	07	6
Kimitsu		JP	04	6
Kohima		IN	20	6
Kāraikkudi	Karaikkudi	IN	25	6
Kilosa		TZ	10	6
Konotop		UA	21	6
Kalamariá	Kalamaria	GR	ESYE12	6
Kostyantynivka		UA	05	6
Kasama		ZM	05	6
Kishorganj		BD	81	6
Klagenfurt am Wörthersee	Klagenfurt am Woerthersee	AT	02	6
Körfez	Korfez	TR	41	6
Kuznetsk		RU	57	6
Kovilpatti		IN	25	6
Kirovo-Chepetsk		RU	33	6
Krasnyy Luch		UA	14	6
Kwangyang		KR	16	5
Kuopio		FI	11	5
Kartasura		ID	07	5
Kōnosu	Konosu	JP	34	5
Kandhkot		PK	05	5
Klangenan		ID	30	5
Kozan		TR	81	5
Koidu		SL	01	5
Kadugli		SD	50	5
Koudougou		BF	06	5
Kasihan		ID	10	5
Kāmthi	Kamthi	IN	16	5
Kashiwazaki		JP	29	5
Keffi		NG	56	5
Katunayaka		LK	36	5
Komendantsky aerodrom		RU	66	5
Kakegawa		JP	37	5
Kāvali	Kavali	IN	02	5
Katori-shi		JP	04	5
Kamigyō-ku	Kamigyo-ku	JP	22	5
Kraljevo		RS	SE	5
Kanoya		JP	18	5
Kilis		TR	90	5
Kasserine		TN	02	5
Kaspiysk		RU	17	5
Kadiri		IN	02	5
Khāriān	Kharian	PK	04	5
Khambhāt	Khambhat	IN	09	5
Konstanz		DE	01	5
Konin		PL	86	5
Klin		RU	47	5
Kfar Saba		IL	02	5
Kotkapura		IN	23	5
Kairāna	Kairana	IN	36	5
Kedungwaru		ID	08	5
Kāraikāl	Karaikal	IN	22	5
Kidapawan		PH	12	5
Kropotkin		RU	38	5
Kafanchan		NG	23	5
Kottagūdem	Kottagudem	IN	40	5
Kadoma		ZW	05	5
Kashihara		JP	32	5
Kŭlob	Kulob	TJ	02	5
Koch Bihār	Koch Bihar	IN	28	5
Kātoya	Katoya	IN	28	5
Kayes		ML	03	5
Karatsu		JP	33	5
Kadayanallur		IN	25	5
Keningau		MY	16	5
Kars		TR	84	5
Kambar		PK	05	5
Khomeyn		IR	34	5
Kanasín	Kanasin	MX	31	5
Ksar el Boukhari		DZ	06	5
Keratsíni	Keratsini	GR	ESYE31	5
Kagoro		NG	23	5
Karur		IN	25	5
Kundla		IN	09	5
Kannauj		IN	36	5
Kumanovo		MK	D7	5
Konnagar		IN	28	5
Kebomas		ID	08	5
Khemis Miliana		DZ	35	5
Karangsembung		ID	30	5
