Mumbai		IN	16	846
Mexico City		MX	09	819
Manila		PH	NCR	696
Moscow		RU	48	692
Melbourne		AU	07	283
Madrid		ES	29	217
Mogadishu		SO	02	172
Mashhad		IR	42	153
Maracaibo		VE	23	148
Medellín	Medellin	CO	02	133
Maracay		VE	04	116
Medan		ID	26	116
Minsk		BY	04	116
Mosul		IQ	15	115
Montréal	Montreal	CA	10	106
Manaus		BR	04	106
Manhattan		US	NY	99
Multān	Multan	PK	04	95
Mecca		SA	14	88
Makassar		ID	38	88
Medina		SA	05	86
Montevideo		UY	10	84
Munich		DE	02	84
Milano		IT	09	82
Meerut		IN	36	81
Mandalay		MM	08	80
Maputo		MZ	11	79
Monterrey		MX	19	74
Malingao		PH	12	74
Maiduguri		NG	27	74
Managua		NI	10	64
Maceió	Maceio	BR	02	63
Monrovia		LR	14	62
Madurai		IN	25	60
Mendoza		AR	13	58
Mbuji-Mayi		CD	04	58
Mysore		IN	19	57
Marrakesh		MA	47	55
Mombasa		KE	37	53
Muscat		OM	06	53
Marseille		FR	93	52
Malang		ID	08	49
Muzaffarābād	Muzaffarabad	PK	06	48
Morādābād	Moradabad	IN	36	48
Mérida	Merida	MX	31	47
Matola		MZ	04	45
Mississauga		CA	08	44
Mudanjiang		CN	08	44
Memphis		US	TN	43
Mexicali		MX	02	39
Milwaukee		US	WI	39
Morelia		MX	16	39
Málaga	Malaga	ES	51	37
Mar del Plata		AR	01	36
Meknès	Meknes	MA	48	36
Mercin		TR	32	35
Macau		MO	02	34
Mykolayiv		UA	16	34
Makati City		PH	NCR	34
Makhachkala		RU	17	33
Masina		CD	06	32
Mariupol		UA	05	32
Mixco		GT	07	31
Matsudo		JP	04	31
Mansilingan		PH	06	30
Manado		ID	31	30
Muratpaşa	Muratpasa	TR	07	30
Matsuyama		JP	05	29
Malatya		TR	44	29
Mesa		US	AZ	29
Mawlamyine		MM	13	29
Murcia		ES	31	29
Mwanza		TZ	12	29
Mālegaon	Malegaon	IN	16	29
Maltepe		TR	34	28
Mangalore		IN	19	27
Magnitogorsk		RU	13	27
Maturín	Maturin	VE	16	27
Machida		JP	40	26
Miami		US	FL	26
Manchester		GB	ENG	26
Mişrātah	Misratah	LY	72	25
Mauá	Maua	BR	27	25
Minneapolis		US	MN	25
Makiyivka		UA	05	25
Minato		JP	43	25
Mahilyow		BY	06	24
Manukau City		NZ	E7	24
Manizales		CO	37	23
Mazatlán	Mazatlan	MX	25	23
Miguel Hidalgo		MX	09	23
Muzaffarnagar		IN	36	23
Macapá	Macapa	BR	03	22
Muzaffarpur		IN	34	22
Montes Claros		BR	15	22
Mandaue City		PH	07	22
Mathura		IN	36	22
Mogi das Cruzes		BR	27	21
Maroua		CM	12	21
Morón	Moron	AR	01	21
Murmansk		RU	49	21
Mataram		ID	17	21
Maringá	Maringa	BR	18	20
Miyazaki		JP	25	20
Mannheim		DE	01	20
Mandaluyong City		PH	NCR	20
Mazār-e Sharīf	Mazar-e Sharif	AF	30	20
Mardan		PK	03	20
Mérida	Merida	VE	14	20
Malir Cantonment		PK	05	20
Māndu	Mandu	IN	35	20
Morioka		JP	16	19
Makurdi		NG	26	19
Minna		NG	31	19
Mbeya		TZ	09	19
Mueang Nonthaburi		TH	38	19
Meads		US	KY	19
Marienthal		DE	04	19
Maebashi		JP	10	18
Mingora		PK	03	18
Mokolo		CM	12	18
Montería	Monteria	CO	12	18
Münster	Muenster	DE	07	18
Moppo		KR	16	17
Mantampay		PH	10	17
Mianyang		CN	32	17
Mönchengladbach	Moenchengladbach	DE	07	17
Markham		CA	08	17
Malmö	Malmoe	SE	27	17
Morogoro		TZ	10	16
Montpellier		FR	76	16
Mito		JP	14	16
Mau		IN	36	16
Manisa		TR	45	16
Mar’ino	Mar'ino	RU	48	16
Madison		US	WI	15
Marka		SO	14	15
Magdeburg		DE	14	15
Magdalena Contreras		MX	09	15
Miri		MY	11	15
Mubi		NG	35	15
Mymensingh		BD	81	15
Minamirinkan		JP	19	14
Mirzāpur	Mirzapur	IN	36	14
Messina		IT	15	14
Mount Lavinia		LK	36	14
Mirpur Khas		PK	05	14
Mekele		ET	53	14
Mucumpiz		VE	14	14
Mokotów	Mokotow	PL	78	14
Marília	Marilia	BR	27	14
Matsumoto		JP	26	14
Móstoles	Mostoles	ES	29	13
Montgomery		US	AL	13
Monghyr		IN	34	13
Mossoró	Mossoro	BR	22	13
Modesto		US	CA	13
Malolos		PH	03	13
Machala		EC	08	13
Mentougou		CN	22	13
Murwāra	Murwara	IN	35	13
Monclova		MX	07	13
Mobile		US	AL	13
Maracanaú	Maracanau	BR	06	12
Moreno Valley		US	CA	12
Machilīpatnam	Machilipatnam	IN	02	12
Mwene-Ditu		CD	04	12
Mabalacat City		PH	03	12
Mohammedia		MA	45	12
Madiun		ID	08	12
Moratuwa		LK	36	12
Mainz		DE	08	12
Meycauayan		PH	03	12
Milton Keynes		GB	ENG	12
Mutare		ZW	01	12
Mbandaka		CD	02	12
Manta		EC	14	12
Mitaka-shi		JP	40	12
Monywa		MM	10	12
Malacca		MY	04	12
Matadi		CD	08	12
Meiktila		MM	08	11
Malāyer	Malayer	IR	09	11
Mzuzu		MW	N	11
Myeik		MM	12	11
Midrand		ZA	06	11
Metepec		MX	15	11
Miskolc		HU	04	11
Mülheim (Ruhr)	Muelheim (Ruhr)	DE	07	11
Miass		RU	13	11
Muzaffargarh		PK	04	11
Murīdke	Muridke	PK	04	10
Maradi		NE	04	10
Mahābād	Mahabad	IR	01	10
Madhyamgram		IN	28	10
Malakal		SS	07	10
Mytishchi		RU	47	10
Mejicanos		SV	10	10
Modena		IT	05	10
Maykop		RU	01	10
Melitopol’	Melitopol'	UA	26	10
Moshi		TZ	06	10
Matsue		JP	36	10
Malabo		GQ	04	10
Middelburg		ZA	07	10
Mahajanga		MG	7670849	10
Medinīpur	Medinipur	IN	28	10
Morena		IN	35	10
Minatitlan		MX	30	10
Malkajgiri		IN	40	10
Mascara		DZ	26	10
Metro		ID	15	9
Moriguchi		JP	32	9
Médéa	Medea	DZ	06	9
Mestre		IT	20	9
Manama		BH	16	9
Matanzas		CU	03	9
Marabá	Maraba	BR	16	9
Meizhou		CN	30	9
Marawi City		PH	14	9
Macaé	Macae	BR	21	9
Middlesbrough		GB	ENG	9
Mallawī	Mallawi	EG	10	9
Metairie Terrace		US	LA	9
Myingyan		MM	08	9
Mpumalanga		ZA	02	9
Mesquite		US	TX	9
Man		CI	78	9
Metairie		US	LA	9
Musashino		JP	40	9
Mahbūbnagar	Mahbubnagar	IN	40	9
Moundou		TD	08	9
Mandya		IN	19	8
Marbella		ES	51	8
Marg‘ilon	Marg`ilon	UZ	03	8
Mīāndoāb	Miandoab	IR	01	8
Muricay		PH	09	8
Majie		CN	29	8
Martapura		ID	12	8
McKinney		US	TX	8
Miyakonojō	Miyakonojo	JP	25	8
Matsubara		JP	32	8
Moga		IN	23	8
Maicao		CO	17	8
Masaya		NI	11	8
Manzanillo		MX	08	8
Mostaganem		DZ	07	8
McAllen		US	TX	8
Mandi Bahāuddīn	Mandi Bahauddin	PK	04	8
Mino		JP	32	8
Mogi-Gaucu		BR	27	8
Manzanillo		CU	09	8
Muar		MY	01	8
Murom		RU	83	8
Macheng		CN	12	8
Mandsaur		IN	35	8
Marand		IR	33	8
Metz		FR	44	8
Mohali		IN	23	8
