Qingdao		CN	25	247
Quezon City		PH	NCR	184
Quito		EC	18	93
Qom		IR	39	60
Qiqihar		CN	08	58
Qinhuangdao		CN	10	50
Quetta		PK	02	48
Québec	Quebec	CA	10	35
Quilmes		AR	01	34
Qazvin		IR	38	22
Qarchak		IR	26	16
Qinā	Qina	EG	23	15
Quthbullapur		IN	40	15
Qarshi		UZ	08	14
Qui Nhon		VN	46	14
Quelimane		MZ	09	12
Qo‘qon	Qo`qon	UZ	03	12
Quanzhou		CN	07	12
Qianjiang		CN	12	11
Qingyuan		CN	30	10
Qujing		CN	29	9
Queimados		BR	21	9
Quetzaltenango		GT	13	8
Quilpué	Quilpue	CL	01	8
Quevedo		EC	13	7
Qingzhou		CN	25	7
Qianguo		CN	05	7
Qūchān	Quchan	IR	42	7
Qingnian		CN	25	7
Queenstown		ZA	05	7
Queluz		PT	14	6
Qurayyat		SA	20	6
Qianzhou		CN	11	6
Qinzhou		CN	16	6
Qalyūb	Qalyub	EG	12	6
Quincy		US	MA	6
Qorveh		IR	16	5
Qiongshan		CN	31	5
Qamdo		CN	14	5
Qufu		CN	25	5
Quzhou		CN	02	5
Qal‘at Bīshah	Qal`at Bishah	SA	11	5
Quatre Bornes		MU	17	5
Qingquan		CN	12	5
Quibdó	Quibdo	CO	11	5
Qaraçuxur	Qaracuxur	AZ	09	4
Quillota		CL	01	4
Quartu Sant'Elena		IT	14	4
Qionghu		CN	11	4
Qingyang		CN	25	4
Qŭrghonteppa	Qurghonteppa	TJ	02	4
Qinggang		CN	08	4
Quimper		FR	53	4
Qinnan		CN	04	3
Qoryooley		SO	14	3
Qulsary		KZ	06	3
Quixadá	Quixada	BR	06	3
Qiryat Ata		IL	04	3
Qiryat Gat		IL	01	3
Qalqīlyah	Qalqilyah	PS	WE	2
Quwaysinā	Quwaysina	EG	09	2
Quinte West		CA	08	2
Quíbor	Quibor	VE	13	2
Queanbeyan		AU	02	2
Quincy		US	IL	2
Qā’en	Qa'en	IR	41	2
Qiryat Moẕqin	Qiryat Mozqin	IL	04	2
Qaşr-e Qand	Qasr-e Qand	IR	04	2
Quarto		IT	04	2
Qiryat Yam		IL	04	2
Qiryat Bialik		IL	04	2
Quixeramobim		BR	06	2
Quva		UZ	03	2
Quảng Ngãi	Quang Ngai	VN	63	2
Quirinópolis	Quirinopolis	BR	29	2
Quitilipi		AR	03	2
Quvasoy		UZ	03	2
Qarah Ẕīā’ od Dīn	Qarah Zia' od Din	IR	01	2
Quimbaya		CO	23	2
Qahderījān	Qahderijan	IR	28	1
Quezaltepeque		SV	05	1
Qibray		UZ	14	1
Quesada		CR	01	1
Quezon		PH	10	1
Queen Creek		US	AZ	1
Qŭrghontepa	Qurghontepa	UZ	01	1
Qacha’s Nek	Qacha's Nek	LS	17	1
Quart de Poblet		ES	60	1
Querecotillo		PE	20	1
Quakers Hill		AU	02	1
Qeshm		IR	11	1
Qarāwul	Qarawul	AF	24	1
Quthing		LS	18	1
Quţūr	Qutur	EG	05	1
Qualiano		IT	04	1
Quaraí	Quarai	BR	23	1
Quiapo		PH	NCR	1
Quattromiglia		IT	03	1
Quedlinburg		DE	14	1
Qīr Moāv	Qir Moav	JO	19	1
Quba		AZ	42	1
Qiryat Shemona		IL	03	1
Qādiān	Qadian	IN	23	1
Qārah	Qarah	SY	08	1
Quickborn		DE	10	1
Qādirpur Rān	Qadirpur Ran	PK	04	1
Queensdale		ZA	05	1
Qabāţīyah	Qabatiyah	PS	WE	1
Qazax		AZ	40	1
Quarteira		PT	09	1
Qaţanā	Qatana	SY	08	1
Quaregnon		BE	WAL	1
Quezon		PH	03	1
Qormi		MT	43	1
Quisqueya		DO	24	1
Quatro Barras		BR	18	1
Qŭshkŭpir	Qushkupir	UZ	05	1
Qalansuwa		IL	02	1
Qusar		AZ	44	1
Qandala		SO	03	1
Qarqīn	Qarqin	AF	31	1
