Vienna		AT	09	112
Vadodara		IN	09	93
Valencia		VE	07	92
Varanasi		IN	36	77
Visakhapatnam		IN	02	70
Volgograd		RU	84	67
Vijayawada		IN	02	58
Voronezh		RU	86	56
Valencia		ES	60	54
Vancouver		CA	02	40
Vladivostok		RU	59	39
Veracruz		MX	30	37
Vilnius		LT	65	36
Vereeniging		ZA	06	31
Victoria de Durango		MX	10	30
Venustiano Carranza		MX	09	29
Virginia Beach		US	VA	29
Villa Nueva		GT	07	27
Vila Velha		BR	08	26
Van		TR	65	24
Villahermosa		MX	27	24
Vinnytsya		UA	23	23
Vitebsk		BY	07	22
Volzhskiy		RU	84	21
Villavicencio		CO	19	21
Valladolid		ES	55	21
Vladikavkaz		RU	68	21
Vologda		RU	85	20
Varna		BG	61	20
Vitória	Vitoria	BR	08	20
Vladimir		RU	83	20
Valledupar		CO	10	20
Vigo		ES	58	19
Viña del Mar	Vina del Mar	CL	01	19
Victoria		CA	02	19
Viamão	Viamao	BR	23	19
Valparaíso	Valparaiso	CL	01	18
Vitória da Conquista	Vitoria da Conquista	BR	05	16
Várzea Grande	Varzea Grande	BR	14	16
Volta Redonda		BR	21	16
Vanderbijlpark		ZA	06	16
Vaughan		CA	08	15
Verona		IT	20	14
Vykhino-Zhulebino		RU	48	14
Velikiy Novgorod		RU	52	14
Vũng Tàu	Vung Tau	VN	45	13
Vasyl'evsky Ostrov		RU	66	13
Vientiane		LA	24	13
Vantaa		FI	01	12
Varāmīn	Varamin	IR	26	11
Vizianagaram		IN	02	11
Vellore		IN	25	11
Volgodonsk		RU	61	11
Vinh		VN	58	10
Verāval	Veraval	IN	09	10
Vancouver		US	WA	10
Viranşehir	Viransehir	TR	63	10
Virār	Virar	IN	16	10
Vryheid		ZA	02	10
Valencia		US	CA	9
Vidisha		IN	35	9
Van Nuys		US	CA	9
Valdivia		CL	17	8
Villeurbanne		FR	84	8
Villaverde		ES	29	8
Visalia		US	CA	8
Virginia		ZA	03	8
Villa Canales		GT	07	8
Veshnyaki		RU	48	8
Vejalpur		IN	09	8
Varginha		BR	15	7
Vallejo		US	CA	7
Victorville		US	CA	7
Villa Lugano		AR	07	7
Vihāri	Vihari	PK	04	7
Várzea Paulista	Varzea Paulista	BR	27	7
Vacoas		MU	17	7
Vitória de Santo Antão	Vitoria de Santo Antao	BR	30	7
Västerås	Vasteras	SE	25	7
Vicenza		IT	20	7
Vĩnh Long	Vinh Long	VN	69	6
Velikiye Luki		RU	60	6
Vanadzor		AM	06	6
Vāsco Da Gāma	Vasco Da Gama	IN	33	6
Votorantim		BR	27	6
Votkinsk		RU	80	6
Villupuram		IN	25	6
Villa Alemana		CL	01	6
Villa Mercedes		AR	19	6
Ventura		US	CA	6
Vostochnoe Degunino		RU	47	6
Vespasiano		BR	15	6
Vista		US	CA	6
Valera		VE	21	6
Việt Trì	Viet Tri	VN	83	6
Villa María	Villa Maria	AR	05	6
Vacaville		US	CA	6
Venlo		NL	05	6
Valparai		IN	25	6
Vaniyambadi		IN	25	6
Vlorë	Vlore	AL	51	5
Valle de La Pascua		VE	12	5
Valinhos		BR	27	5
Velbert		DE	07	5
Victorias		PH	06	5
Vólos	Volos	GR	ESYE14	5
Versailles		FR	11	5
Vec-Liepāja	Vec-Liepaja	LV	16	5
Valencia		PH	10	5
Villingen-Schwenningen		DE	01	5
Vitry-sur-Seine		FR	11	5
Vorkuta		RU	34	5
Vyborg		RU	42	5
Valvedditturai		LK	38	5
Voskresensk		RU	47	5
Varese		IT	09	5
Villa de Cura		VE	04	5
Viersen		DE	07	5
Vélez-Málaga	Velez-Malaga	ES	51	4
Vlaardingen		NL	11	4
Victoria		MY	15	4
Virudunagar		IN	25	4
Valsād	Valsad	IN	09	4
Venado Tuerto		AR	21	4
Vapi		IN	09	4
Vila Nova de Gaia		PT	17	4
Vol’sk	Vol'sk	RU	67	4
Votuporanga		BR	27	4
Villa Carlos Paz		AR	05	4
Vaslui		RO	38	4
Viçosa	Vicosa	BR	15	4
Visnagar		IN	09	4
Velsen-Zuid		NL	07	4
Vicálvaro	Vicalvaro	ES	29	4
Veliko Tŭrnovo	Veliko Turnovo	BG	62	4
Vilanova i la Geltrú	Vilanova i la Geltru	ES	56	4
Villa de Vallecas		ES	29	4
Villa del Rosario		CO	21	4
Vratsa		BG	64	4
Villa Elisa		PY	06	4
Valence		FR	84	4
Viladecans		ES	56	4
Vilhena		BR	24	4
Valença	Valenca	BR	05	4
Valdemoro		ES	29	4
Victoria		US	TX	4
Villeneuve-d'Ascq		FR	32	4
Veszprém	Veszprem	HU	23	4
Vyksa		RU	51	4
Vriddhāchalam	Vriddhachalam	IN	25	4
Vinukonda		IN	02	4
Výronas	Vyronas	GR	ESYE31	4
Veenendaal		NL	09	4
Valença	Valenca	BR	21	4
Valjevo		RS	SE	4
Vineland		US	NJ	4
Valle de Santiago		MX	11	4
Vrindāvan	Vrindavan	IN	36	4
Vavuniya		LK	38	4
Växjö	Vaexjoe	SE	12	3
Verkhnyaya Pyshma		RU	71	3
Villach		AT	02	3
Volzhsk		RU	45	3
Vigevano		IT	09	3
Veles		MK	F1	3
Vénissieux	Venissieux	FR	84	3
Villa Hayes		PY	16	3
Vaasa		FI	15	3
Vacaria		BR	23	3
Vinhedo		BR	27	3
Vranje		RS	SE	3
Vyaz’ma	Vyaz'ma	RU	69	3
Viana		BR	08	3
Viljoenskroon		ZA	03	3
Valdosta		US	GA	3
Vidin		BG	63	3
Vannes		FR	53	3
Vyshniy Volochëk	Vyshniy Volochek	RU	77	3
Verviers		BE	WAL	3
Villa Vicente Guerrero		MX	29	3
Vidnoye		RU	47	3
Venice		IT	20	3
Vila-real		ES	60	3
Vejle		DK	21	3
Vittoria		IT	15	3
Villa Francisca		DO	34	3
Vagonoremont		RU	48	3
Vatutino		RU	48	3
Vryburg		ZA	10	3
Viareggio		IT	16	3
Verkhnyaya Salda		RU	71	3
Viedma		AR	16	3
Velasco Ibarra		EC	10	3
Verrettes		HT	06	3
Vigan		PH	01	3
Velletri		IT	07	3
Vsevolozhsk		RU	42	3
Villejuif		FR	11	3
Valle Hermoso		MX	28	3
Vawkavysk		BY	03	3
Vernon		CA	02	3
Viterbo		IT	07	3
Vitina		XK	10097357	3
Ventanas		EC	13	3
Vite		IN	16	3
Vincennes		FR	11	3
Vahdat		TJ	RR	3
Volkhov		RU	42	3
Vercelli		IT	12	3
Voi		KE	47	3
Vlissingen		NL	10	3
Vallenar		CL	05	2
Valenciennes		FR	32	2
Véroia	Veroia	GR	ESYE12	2
Villa Constitución	Villa Constitucion	AR	21	2
Varangaon		IN	16	2
Villa Ángela	Villa Angela	AR	03	2
Volksrust		ZA	07	2
Vikārābād	Vikarabad	IN	40	2
Varkala		IN	13	2
Veldhoven		NL	06	2
Ventspils		LV	32	2
Videira		BR	26	2
Voznesensk		UA	16	2
Varaždin	Varazdin	HR	16	2
Vista Alegre		PA	08	2
Villarrica		PY	10	2
Völklingen	Voelklingen	DE	09	2
Venâncio Aires	Venancio Aires	BR	23	2
Vwawa		TZ	09	2
Vaijāpur	Vaijapur	IN	16	2
Villa Altagracia		DO	33	2
