Xi’an	Xi'an	CN	26	433
Xiamen		CN	07	235
Xinyang		CN	09	106
Xianyang		CN	26	68
Xining		CN	06	51
Xiangtan		CN	11	44
Xingtai		CN	10	40
Xiangyang		CN	12	30
Xalapa de Enríquez	Xalapa de Enriquez	MX	30	28
Xochimilco		MX	09	26
Xinpu		CN	04	26
Xiuying		CN	31	19
Xiantao		CN	12	15
Xintai		CN	25	14
Xinhui		CN	30	13
Xianning		CN	12	11
Xindi		CN	12	11
Xiaogan		CN	12	10
Xinzhou		CN	24	10
Xinji		CN	10	9
Xuanzhou		CN	01	8
Xai-Xai		MZ	02	8
Xichang		CN	32	8
Xiazhen		CN	25	8
Xiulin		CN	12	8
Xilin Hot		CN	20	8
Xinghua		CN	04	7
Xingcheng		CN	19	6
Xinshi		CN	12	6
Xinyi		CN	30	6
Xishan		CN	11	6
Xinyu		CN	03	6
Xiaoshan		CN	02	6
Ximei		CN	07	6
Xihe		CN	12	6
Xiangxiang		CN	11	5
Xiannü	Xiannu	CN	04	5
Xucheng		CN	30	5
Xindian		CN	25	5
Xiongzhou		CN	30	5
Xinzhou		CN	12	5
Xinmin		CN	19	4
Xianshuigu		CN	28	4
Xinzhi		CN	24	4
Xiuyan		CN	19	4
Xiashi		CN	02	4
Xiaoshi		CN	19	4
Xiaolingwei		CN	04	4
Xiangcheng Chengguanzhen		CN	09	4
Xincheng		CN	09	4
Xunchang		CN	32	4
Xiazhuang		CN	25	4
Xianju		CN	02	4
Xifeng		CN	19	4
Xixiang		CN	09	4
Xiaoweizhai		CN	18	3
Xinglongshan		CN	05	3
Xinqing		CN	08	3
Xankandi		AZ	61	3
Xánthi	Xanthi	GR	ESYE11	3
Xam Nua		LA	03	2
Xicotepec de Juárez	Xicotepec de Juarez	MX	21	2
Xaçmaz	Xacmaz	AZ	60	2
Xique Xique		BR	05	2
Xanxerê	Xanxere	BR	26	2
Xirivella		ES	60	2
Xàtiva	Xativa	ES	60	1
Xenia		US	OH	1
Xanten		DE	07	1
Xoxocotla		MX	17	1
Xonacatlán	Xonacatlan	MX	15	1
Xochitepec		MX	17	1
Xico		MX	30	1
