name	asciiname	cc	admin1	0
Alexandria		EG	06	254
Ahmedabad		IN	09	247
Abidjan		CI	82	245
Ankara		TR	68	234
Addis Ababa		ET	44	183
Al Jīzah	Al Jizah	EG	08	162
Al Mawşil al Jadīdah	Al Mawsil al Jadidah	IQ	15	137
Al Başrah al Qadīmah	Al Basrah al Qadimah	IQ	02	134
Almaty		KZ	02	133
Algiers		DZ	01	131
Accra		GH	01	130
Aleppo		SY	09	106
Asunción	Asuncion	PY	22	98
Āgra	Agra	IN	36	95
Antananarivo		MG	7670856	92
Amman		JO	16	85
Adana		TR	81	83
Adelaide		AU	05	81
Anshan		CN	19	79
Amritsar		IN	23	72
Allahābād	Allahabad	IN	36	71
Aurangabad		IN	16	67
Abū Ghurayb	Abu Ghurayb	IQ	07	60
Abobo		CI	82	60
Aba		NG	45	59
Ahvaz		IR	15	56
Arequipa		PE	04	56
Austin		US	TX	52
Anyang		CN	09	52
Antalya		TR	07	50
Alīgarh	Aligarh	IN	36	50
Amsterdam		NL	07	49
Ashgabat		TM	01	48
Álvaro Obregón	Alvaro Obregon	MX	09	48
As Sulaymānīyah	As Sulaymaniyah	IQ	05	48
Agadir		MA	55	46
Athens		GR	ESYE31	44
Aguascalientes		MX	01	43
Acapulco de Juárez	Acapulco de Juarez	MX	12	43
Ansan-si		KR	13	43
Al Aḩmadī	Al Ahmadi	KW	04	42
Anyang-si		KR	13	42
Al Ḩudaydah	Al Hudaydah	YE	08	41
Amrāvati	Amravati	IN	16	40
Abu Dhabi		AE	01	40
Abeokuta		NG	16	39
Abuja		NG	11	39
Asmara		ER	05	37
Aden		YE	02	36
Antipolo		PH	40	36
Albuquerque		US	NM	36
Ajmer		IN	24	34
Āzādshahr	Azadshahr	IR	09	34
Aparecida de Goiânia	Aparecida de Goiania	BR	29	34
Āsansol	Asansol	IN	28	33
Arāk	Arak	IR	34	33
Astrakhan		RU	07	33
Aracaju		BR	28	32
Antwerpen		BE	VLG	30
Amagasaki		JP	13	29
Ananindeua		BR	16	28
