Ecatepec		MX	15	120
Erbil		IQ	11	62
Edmonton		CA	01	47
Enugu		NG	47	45
El Paso		US	TX	43
Essen		DE	07	39
Ebute Ikorodu		NG	05	35
Esenler		TR	34	34
Eskişehir	Eskisehir	TR	26	34
East London		ZA	05	31
Edinburgh		GB	SCT	29
East Jerusalem		PS	WE	28
Erzurum		TR	25	28
El Obeid		SD	56	26
Etobicoke		CA	08	23
Elazığ	Elazig	TR	23	19
Effon Alaiye		NG	42	18
El Daein		SD	60	17
Eixample		ES	56	17
Etāwah	Etawah	IN	36	17
Espoo		FI	01	17
Ensenada		MX	02	17
El Fasher		SD	55	16
Eimsbüttel	Eimsbuettel	DE	04	16
Elche		ES	60	15
Embu		BR	27	14
Eldoret		KE	52	14
Esenyurt		TR	34	14
Eindhoven		NL	06	13
Erfurt		DE	15	13
Edéa	Edea	CM	05	13
Engel’s	Engel's	RU	67	13
Ezhou		CN	12	12
Ellore		IN	02	12
East New York		US	NY	11
Ech Chettia		DZ	41	11
Eloy Alfaro		EC	10	11
Esmeraldas		EC	09	11
Envigado		CO	02	10
El Achir		DZ	39	10
Eugene		US	OR	10
East Chattanooga		US	TN	10
Enschede		NL	15	10
Elk Grove		US	CA	10
El Tigre		VE	02	10
El Limón	El Limon	VE	04	9
East Hampton		US	VA	9
El Jadida		MA	51	9
Erode		IN	25	9
Elektrostal’	Elektrostal'	RU	47	9
Escondido		US	CA	9
eMbalenhle		ZA	07	9
Ejigbo		NG	42	9
El Oued		DZ	43	8
Ebetsu		JP	12	8
El Eulma		DZ	12	8
Elbląg	Elblag	PL	85	8
East Los Angeles		US	CA	8
Edirne		TR	22	8
Elizabeth		US	NJ	8
Epworth		ZW	10	8
Ekibastuz		KZ	11	8
Evansville		US	IN	7
Erzincan		TR	24	7
El Monte		US	CA	7
Exeter		GB	ENG	7
Eastbourne		GB	ENG	7
Esuk Oron		NG	21	7
Encheng		CN	30	7
East Independence		US	MO	7
Enterprise		US	NV	7
Elgin		US	IL	7
Elista		RU	24	7
Ejido		VE	14	7
Enfield Town		GB	ENG	6
Ed Damer		SD	53	6
Esmeraldas		BR	15	6
Escuintla		GT	06	6
Everett		US	WA	6
Erlangen		DE	02	6
Edison		US	NJ	6
Erie		US	PA	6
Elbasan		AL	43	6
El Progreso		HN	18	6
El Cajon		US	CA	6
Estelí	Esteli	NI	05	6
Erechim		BR	23	6
Enshi		CN	12	6
Esslingen		DE	01	6
Ereğli	Eregli	TR	71	6
Erciş	Ercis	TR	65	6
Emure-Ekiti		NG	54	6
Ereğli	Eregli	TR	85	5
Ébolowa	Ebolowa	CM	14	5
El Puerto de Santa María	El Puerto de Santa Maria	ES	51	5
Enchanted Hills		US	NM	5
Effium		NG	53	5
Esteio		BR	23	5
Epe		NG	05	5
Eisen		KR	14	5
East Norwalk		US	CT	5
El Ejido		ES	51	5
El Khroub		DZ	04	5
Edmond		US	OK	5
Emmiganūr	Emmiganur	IN	02	5
Elbistan		TR	46	5
El Cafetal		VE	15	5
Erdenet		MN	25	5
Ende		ID	18	5
Edinburg		US	TX	5
Embu Guaçu	Embu Guacu	BR	27	5
Encarnación	Encarnacion	PY	11	4
Evanston		US	IL	4
East Kilbride		GB	SCT	4
Esbjerg		DK	21	4
El Pueblito		MX	22	4
Ejura		GH	02	4
Eha Amufu		NG	47	4
Essaouira		MA	47	4
Enugu-Ukwu		NG	25	4
Es Senia		DZ	09	4
Ellesmere Port		GB	ENG	4
Ede		NL	03	4
Ezza-Ohu		NG	53	4
Eau Claire		US	WI	4
Ellicott City		US	MD	4
Estepona		ES	51	4
El Bayadh		DZ	42	4
East Orange		US	NJ	4
Eagan		US	MN	4
El Prat de Llobregat		ES	56	4
Entebbe		UG	C	4
Érd	Erd	HU	16	4
El Hamma		TN	29	4
Eiguliai		LT	57	4
Erdaojiang		CN	05	4
Eden Prairie		US	MN	4
Esfarāyen	Esfarayen	IR	43	3
Ekpoma		NG	37	3
Encinitas		US	CA	3
El Vigía	El Vigia	VE	14	3
Eskilstuna		SE	18	3
Évreux	Evreux	FR	28	3
El Hatillo		VE	15	3
Emmen		NL	01	3
Eger		HU	11	3
Espinal		CO	28	3
Eisen		KR	14	3
Ezhva		RU	34	3
Energodar		UA	26	3
Eschweiler		DE	07	3
Ełk	Elk	PL	85	3
Estância	Estancia	BR	28	3
Évora	Evora	PT	08	3
Eminönü	Eminoenue	TR	34	3
Etāwa	Etawa	IN	35	3
Elda		ES	60	3
Euskirchen		DE	07	3
Elyria		US	OH	3
El Banco		CO	38	3
Eastleigh		GB	ENG	3
East Pensacola Heights		US	FL	3
Ercolano		IT	04	3
El Viejo		NI	03	3
El Tocuyo		VE	13	3
Ergani		TR	21	3
Esher		GB	ENG	3
Erbaa		TR	60	3
Évry	Evry	FR	11	3
Emden		DE	06	3
Euless		US	TX	3
East Hartford		US	CT	3
Erftstadt		DE	07	3
Elkhart		US	IN	3
Ejmiatsin		AM	03	3
Enid		US	OK	3
eSikhawini		ZA	02	3
Euclid		US	OH	3
Elmshorn		DE	10	3
East Lansing		US	MI	3
East Brunswick		US	NJ	3
Escada		BR	30	3
El Kef		TN	14	3
El Carmen de Bolívar	El Carmen de Bolivar	CO	35	3
Edina		US	MN	3
Erkrath		DE	07	3
East Providence		US	RI	3
Esplugues de Llobregat		ES	56	3
El Hadjar		DZ	37	3
Erdemli		TR	32	3
Emmeloord		NL	16	3
Épinay-sur-Seine	Epinay-sur-Seine	FR	11	3
Eilat		IL	01	3
Enfield		US	CT	3
Erkelenz		DE	07	2
Elmhurst		US	IL	2
Eisenach		DE	15	2
El Attaf		DZ	35	2
Echo Park		US	CA	2
El Affroun		DZ	55	2
East Concord		US	NH	2
El Centro		US	CA	2
Esperanza		DO	27	2
El Dorado Hills		US	CA	2
Eberswalde		DE	11	2
Everett		US	MA	2
Ermelo		ZA	07	2
Enjitsu		KR	14	2
El Bagre		CO	02	2
Edremit		TR	10	2
Écija	Ecija	ES	51	2
Estância Velha	Estancia Velha	BR	23	2
Ewell		GB	ENG	2
El Hadjira		DZ	50	2
Edmonds		US	WA	2
Épinal	Epinal	FR	44	2
Ermesinde		PT	17	2
El Abiodh Sidi Cheikh		DZ	42	2
Essex		US	MD	2
Escalante		PH	06	2
Ettlingen		DE	01	2
Errenteria		ES	59	2
El Idrissia		DZ	22	2
Empalme		MX	26	2
El Cerrito		CO	29	2
East Meadow		US	NY	2
Emiliano Zapata		MX	17	2
Ellenabad		IN	10	2
Ekangala		ZA	06	2
Espírito Santo do Pinhal	Espirito Santo do Pinhal	BR	27	2
Eusébio	Eusebio	BR	06	2
Eccles		GB	ENG	2
Eqbālīyeh	Eqbaliyeh	IR	26	2
Ewing		US	NJ	2
Esperanza		AR	21	2
El Vendrell		ES	56	2
East Florence		US	AL	2
Emsdetten		DE	07	2
El Kala		DZ	44	2
Egypt Lake-Leto		US	FL	2
El Aïoun	El Aioun	MA	54	2
Embu		KE	15	2
Esposende		PT	04	2
Esposende		PT	04	2
Empoli		IT	16	2
East Point		US	GA	2
Erding		DE	02	2
Erāttupetta	Erattupetta	IN	13	2
Epe		NL	03	2
Elmont		US	NY	2
Elk Grove Village		US	IL	2
Échirolles	Echirolles	FR	84	2
Esik		KZ	01	2
Eṭ Ṭaiyiba	Et Taiyiba	IL	02	2
Exmouth		GB	ENG	2
El Aouinet		DZ	29	2
Egra		IN	28	2
Ennepetal		DE	07	2
Eastpointe		US	MI	2
El Triunfo		EC	10	2
Epping		AU	07	2
Eisenhüttenstadt	Eisenhuettenstadt	DE	11	2
el hed		DZ	18	2
El Mirage		US	AZ	2
Evergem		BE	VLG	2
East Lake		US	FL	2
Erandol		IN	16	2
Elūr	Elur	IN	13	2
