Lagos		NG	05	600
Lima		PE	LMA	515
London		GB	ENG	503
Lahore		PK	04	420
Los Angeles		US	CA	252
Luanda		AO	20	185
Lanzhou		CN	15	175
Lucknow		IN	36	164
Ludhiāna	Ludhiana	IN	23	103
Luoyang		CN	09	92
Lubumbashi		CD	05	91
Lusaka		ZM	09	84
Lijiang		CN	29	75
León	Leon	MX	11	74
La Paz		BO	04	54
Łódź	Lodz	PL	74	51
Lomé	Lome	TG	24	49
Langfang		CN	10	48
Lviv		UA	15	47
La Plata		AR	01	46
Liaoyang		CN	19	45
Lilongwe		MW	C	43
Luancheng		CN	10	39
Las Vegas		US	NV	38
Libreville		GA	01	38
Lisbon		PT	14	34
Lipetsk		RU	43	34
Leipzig		DE	13	33
Lyon		FR	84	31
Londrina		BR	18	31
Liverpool		GB	ENG	31
Liaoyuan		CN	05	31
Long Beach		US	CA	30
Leeds		GB	ENG	30
Luhansk		UA	14	30
Luqiao		CN	02	28
Likasi		CD	05	28
Luxor		EG	28	28
Luohe		CN	09	27
Las Palmas de Gran Canaria		ES	53	25
Laval		CA	10	25
Lārkāna	Larkana	PK	05	24
Lublin		PL	75	24
Lapu-Lapu City		PH	07	23
Latur		IN	16	23
London		CA	08	23
Latakia		SY	02	22
Leicester		GB	ENG	22
Lianshan		CN	19	20
Lexington-Fayette		US	KY	19
Limeira		BR	27	19
Logan City		AU	04	18
Ljubljana		SI	61	18
Linyi		CN	25	18
Lal Bahadur Nagar		IN	40	17
Lincoln		US	NE	17
L'Hospitalet de Llobregat		ES	56	17
Latina		ES	29	17
Laohekou		CN	12	16
Liupanshui		CN	18	16
Los Reyes La Paz		MX	15	16
Libertad		PH	13	16
Louisville		US	KY	16
Lankaran		AZ	29	16
Laredo		US	TX	15
Linfen		CN	24	15
Lubbock		US	TX	15
Longueuil		CA	10	15
Lucena		PH	40	15
Lille		FR	32	15
Liaocheng		CN	25	15
Lexington		US	KY	15
Los Mochis		MX	25	14
Luts’k	Luts'k	UA	24	14
Loa Janan		ID	14	14
Lipa City		PH	40	14
Lübeck	Luebeck	DE	10	14
La Romana		DO	12	13
Lobito		AO	01	13
Las Tunas		CU	13	13
Linxia Chengguanzhen		CN	15	13
La Pintana		CL	12	13
Ladner		CA	02	13
Laâyoune / El Aaiún	Laayoune / El Aaiun	EH	CE	13
Luton		GB	ENG	12
Little Rock		US	AR	12
Labuan Bajo		ID	18	12
Leganés	Leganes	ES	29	12
Le Havre		FR	28	12
Lembang		ID	30	12
Liège	Liege	BE	WAL	12
