New York City		US	NY	545
Nanjing		CN	04	477
Nanchong		CN	32	476
Ningbo		CN	02	232
Nairobi		KE	05	183
Navi Mumbai		IN	16	173
Nanchang		CN	03	157
Nagpur		IN	16	148
Nagoya		JP	01	146
Novosibirsk		RU	53	94
Nashik		IN	16	85
Nizhniy Novgorod		RU	51	85
Nowrangapur		IN	21	81
Nova Iguaçu	Nova Iguacu	BR	21	66
Napoli		IT	04	63
Nay Pyi Taw		MM	08	61
Naucalpan de Juárez	Naucalpan de Juarez	MX	15	56
Nanning		CN	16	53
Niamey		NE	08	51
Natal		BR	22	50
Nangandao		CN	09	49
N'Djamena		TD	15	48
Nantong		CN	04	44
Nouakchott		MR	NKC	44
New South Memphis		US	TN	42
North York		CA	08	42
New Kingston		JM	08	38
Nanded		IN	16	36
Neijiang		CN	32	36
Novokuznetsk		RU	29	35
Nashville		US	TN	35
Naberezhnyye Chelny		RU	73	33
Niigata		JP	29	33
Nürnberg	Nuernberg	DE	02	33
Najaf		IQ	17	32
Nishinomiya-hama		JP	13	31
Niterói	Niteroi	BR	21	30
Namp’o	Namp'o	KP	15	30
Nangi		IN	28	29
Namangan		UZ	06	28
Nagasaki		JP	27	27
Newcastle		ZA	02	26
Nellore		IN	02	26
Ndola		ZM	08	26
Nampula		MZ	06	25
N’dalatando	N'dalatando	AO	05	25
Nizhniy Tagil		RU	71	25
Nara-shi		JP	28	24
Nagano		JP	26	24
Neiva		CO	16	23
Nuevo Laredo		MX	28	23
New Orleans		US	LA	22
Nice		FR	93	22
New Delhi		IN	07	21
Newcastle		AU	02	20
Nizāmābād	Nizamabad	IN	40	20
Naha		JP	47	20
Noida		IN	36	19
Nha Trang		VN	54	18
Narsingdi		BD	81	18
Nantes		FR	52	18
Newark		US	NJ	18
Nal’chik	Nal'chik	RU	22	18
Nakuru		KE	39	17
Najrān	Najran	SA	16	17
Novo Hamburgo		BR	23	16
Naihāti	Naihati	IN	28	16
Nanyang		CN	09	16
Niš	Nis	RS	SE	16
Nottingham		GB	ENG	16
Nicolás Romero	Nicolas Romero	MX	15	16
Nizhnevartovsk		RU	32	16
Norfolk		US	VA	16
Neuquén	Neuquen	AR	15	16
Novorossiysk		RU	38	16
Neyagawa		JP	32	15
Nāgarpur	Nagarpur	BD	81	15
Nizhnekamsk		RU	73	15
Ngaoundéré	Ngaoundere	CM	10	15
Nukus		UZ	09	15
Nawābshāh	Nawabshah	PK	05	15
Nassau		BS	23	15
Neue Neustadt		DE	14	15
Nacala		MZ	06	14
Nārāyanganj	Narayanganj	BD	81	14
Najafābād	Najafabad	IR	28	14
Nīshābūr	Nishabur	IR	42	14
North Las Vegas		US	NV	14
Novi Sad		RS	VO	14
Nazrēt	Nazret	ET	51	14
Nāgercoil	Nagercoil	IN	25	14
Naz̧arābād	Nazarabad	IR	44	14
Nakhon Ratchasima		TH	27	13
North Shore		NZ	E7	13
Numazu		JP	37	13
North Glendale		US	CA	13
Nadiād	Nadiad	IN	09	13
Nicosia		CY	04	13
Northampton		GB	ENG	13
Nagaoka		JP	29	13
Nishi-Tokyo-shi		JP	40	13
Nāngloi Jāt	Nangloi Jat	IN	07	12
Nnewi		NG	25	12
Newcastle upon Tyne		GB	ENG	12
Nogales		MX	26	12
Newport News		US	VA	12
Norwich		GB	ENG	11
Naga		PH	05	11
Netanya		IL	02	11
Nanping		CN	07	11
Novocherkassk		RU	61	11
Nandyāl	Nandyal	IN	02	11
Nou Barris		ES	56	10
Nazran’	Nazran'	RU	19	10
Nossa Senhora do Socorro		BR	28	10
Nijmegen		NL	03	10
Nanpiao		CN	19	10
Nagareyama		JP	04	10
Nova Friburgo		BR	21	10
Neuss		DE	07	10
Nîmes	Nimes	FR	76	9
Nilópolis	Nilopolis	BR	21	9
Nakhodka		RU	59	9
Novyye Kuz’minki	Novyye Kuz'minki	RU	48	9
Nawābganj	Nawabganj	BD	83	9
Naperville		US	IL	9
Norilsk		RU	91	9
Nigel		ZA	06	9
Negombo		LK	36	9
Nevinnomyssk		RU	70	8
Nzérékoré	Nzerekore	GN	N	8
Novomoskovsk		RU	76	8
Nikopol’	Nikopol'	UA	04	8
Nablus		PS	WE	8
New Haven		US	CT	8
