Osaka		JP	32	172
Ordos		CN	20	129
Omdurman		SD	29	80
Omsk		RU	54	75
Ouagadougou		BF	03	72
Odessa		UA	17	66
Ottawa		CA	08	54
Oyo		NG	32	49
Osasco		BR	27	45
Oran		DZ	09	43
Okayama		JP	31	42
Oslo		NO	12	38
Oklahoma City		US	OK	38
Orūmīyeh	Orumiyeh	IR	01	38
Onitsha		NG	25	37
Orenburg		RU	55	36
Okene		NG	41	31
Ōita	Oita	JP	30	29
Omaha		US	NE	27
Oujda		MA	54	27
Oakland		US	CA	26
Olinda		BR	30	24
Okazaki		JP	01	23
Orël	Orel	RU	56	21
Ostrava		CZ	85	20
Ōtsu	Otsu	JP	35	19
Okanagan		CA	02	19
Owo		NG	48	18
Oaxaca de Juárez	Oaxaca de Juarez	MX	20	17
Ondo		NG	48	17
Osh City		KG	10	17
Oshawa		CA	08	16
Orsk		RU	55	16
Ojo de Agua		MX	15	16
Orlando		US	FL	15
Oviedo		ES	34	14
Okāra	Okara	PK	04	14
Olongapo		PH	03	14
Oberhausen		DE	07	14
Owerri		NG	28	14
Oruro		BO	05	13
Oradea		RO	05	13
Odawara		JP	19	13
Osmaniye		TR	91	13
Oral		KZ	07	13
Osh		KG	08	13
Oxnard		US	CA	13
Ormoc		PH	08	12
Oxnard Shores		US	CA	12
Obihiro		JP	12	11
Overland Park		US	KS	11
Ongole		IN	02	11
Olsztyn		PL	85	11
Oceanside		US	CA	11
Osnabrück	Osnabrueck	DE	06	11
Ocumare del Tuy		VE	15	11
Oakville		CA	08	11
Ontario		US	CA	10
Oyama		JP	38	10
Oldenburg		DE	06	10
Osan		KR	13	10
Orai		IN	36	10
Osogbo		NG	42	10
Oxford		GB	ENG	10
Ōta	Ota	JP	10	10
Ōgaki	Ogaki	JP	09	10
Ōme	Ome	JP	40	9
Odense		DK	21	9
Orkney		ZA	10	9
Orekhovo-Borisovo		RU	48	9
Otaru		JP	12	9
Obuasi		GH	02	9
Odintsovo		RU	47	9
Orange		US	CA	9
Osorno		CL	14	9
Okap		HT	09	8
Okrika		NG	50	8
Ōmuta	Omuta	JP	07	8
Ouargla		DZ	50	8
Oulu		FI	17	8
Orekhovo-Borisovo Severnoye		RU	48	8
Opole		PL	79	8
Olathe		US	KS	8
Okinawa		JP	47	8
Orsha		BY	07	8
Orléans	Orleans	FR	24	8
Orizaba		MX	30	8
Olmaliq		UZ	14	8
Orekhovo-Zuyevo		RU	47	8
Offenbach		DE	05	7
Ordu		TR	52	7
Okigwe		NG	28	7
Ochakovo-Matveyevskoye		RU	48	7
Offa		NG	30	7
Oktyabr’skiy	Oktyabr'skiy	RU	08	7
Ourense		ES	58	7
Obninsk		RU	25	7
Oldham		GB	ENG	6
Oleksandriya		UA	10	6
Olomouc		CZ	84	6
Oum el Bouaghi		DZ	29	6
Odessa		US	TX	6
Örebro	Orebro	SE	15	6
Ooty		IN	25	6
Ourinhos		BR	27	6
Olupona		NG	42	6
Ozerki		RU	66	6
Ōnojō	Onojo	JP	07	6
Ochota		PL	78	6
Ozamiz City		PH	10	6
Onomichi		JP	11	6
Ōmura	Omura	JP	27	5
Orem		US	UT	5
Osijek		HR	10	5
Olavarría	Olavarria	AR	01	5
Orihuela		ES	60	5
Osmanabad		IN	16	5
Oued Zem		MA	50	5
Ogaminana		NG	41	5
Ocaña	Ocana	CO	21	5
Ouidah		BJ	09	5
Ogden		US	UT	5
