Puyang		CN	02	239
Pyongyang		KP	12	214
Pune		IN	16	195
Paris		FR	11	142
Perth		AU	08	126
Pretoria		ZA	06	107
Patna		IN	34	106
Puebla		MX	21	106
Phnom Penh		KH	22	104
Philadelphia		US	PA	101
Phoenix		US	AZ	96
Palembang		ID	32	96
Porto Alegre		BR	23	91
Pimpri		IN	16	85
Port-au-Prince		HT	11	82
Peshawar		PK	03	81
Prague		CZ	52	77
Port Harcourt		NG	50	76
Perm		RU	90	65
Port Elizabeth		ZA	05	64
Pingdingshan		CN	09	59
Pikine		SN	01	58
Padang		ID	24	56
Pasragad Branch		IR	09	52
Pietermaritzburg		ZA	02	50
Pekanbaru		ID	37	46
Puyang Chengguanzhen		CN	09	44
Pointe-Noire		CG	7280295	43
Palermo		IT	15	43
Panshan		CN	19	41
Pasig City		PH	NCR	41
Portland		US	OR	38
Poznań	Poznan	PL	86	38
Pristina		XK	10097360	36
Port Said		EG	19	35
Petaling Jaya		MY	12	34
Penza		RU	57	34
Puente Alto		CL	12	34
Pohang		KR	14	33
Port Sudan		SD	36	32
Pontianak		ID	11	30
Pereira		CO	24	29
Panamá	Panama	PA	08	27
Palma		ES	07	26
Pasto		CO	20	25
Pānihāti	Panihati	IN	28	25
Putian		CN	07	25
Pingxiang		CN	03	24
Puerto La Cruz		VE	02	24
Petare		VE	15	24
Punāsa	Punasa	IN	35	23
Piracicaba		BR	27	22
Plovdiv		BG	51	22
Patiāla	Patiala	IN	23	21
Pavlodar		KZ	11	21
Piura		PE	20	21
Posadas		AR	14	21
Pelotas		BR	23	21
Pachuca de Soto		MX	13	21
Poltava		UA	18	21
Percut		ID	26	20
Pucallpa		PE	25	20
Porto Velho		BR	24	20
Pittsburgh		US	PA	20
Pānīpat	Panipat	IN	10	19
Ponta Grossa		BR	18	19
Paulista		BR	30	19
Parbhani		IN	16	19
Port Moresby		PG	20	18
Pétionville	Petionville	HT	11	18
Palu		ID	21	18
Petrópolis	Petropolis	BR	21	18
Petrozavodsk		RU	28	17
Paraná	Parana	AR	08	17
Plano		US	TX	17
Popayán	Popayan	CO	09	17
Pekalongan		ID	07	17
Praia Grande		BR	27	16
Port-de-Paix		HT	03	16
Porto		PT	17	16
Palmira		CO	29	16
Plymouth		GB	ENG	16
Puente de Vallecas		ES	29	16
Pathein		MM	03	15
Porto-Novo		BJ	16	15
Ploieşti	Ploiesti	RO	30	15
Puducherry		IN	22	15
Paramaribo		SR	16	14
Paradise		US	NV	14
Puerto Princesa		PH	41	14
Prokop’yevsk	Prokop'yevsk	RU	29	14
Purwokerto		ID	07	14
Purwakarta		ID	30	14
Pāli	Pali	IN	24	14
Pematangsiantar		ID	26	13
Presidente Prudente		BR	27	13
Padova		IT	20	13
Pskov		RU	60	13
Petropavl		KZ	16	13
Pokhara		NP	WR	13
Petaẖ Tiqwa	Petah Tiqwa	IL	02	13
Pamplona		ES	32	13
Purnia		IN	34	13
Palmas		BR	31	13
Petrolina		BR	30	12
