Shanghai		CN	23	1487
Shenzhen		CN	30	690
Seoul		KR	11	689
São Paulo	Sao Paulo	BR	27	668
Shenyang		CN	19	417
Suzhou		CN	04	356
Shantou		CN	30	355
Saint Petersburg		RU	66	335
Santiago		CL	12	322
Sydney		AU	02	308
Singapore		SG	01	236
Shiyan		CN	12	230
Sūrat	Surat	IN	09	192
Shijiazhuang		CN	10	188
Salvador		BR	05	180
Surabaya		ID	08	158
Santo Domingo		DO	34	146
Sanaa		YE	16	129
Sapporo		JP	12	125
Soweto		ZA	06	113
Santa Cruz de la Sierra		BO	08	90
San Antonio		US	TX	88
San Diego		US	CA	87
South Tangerang		ID	33	86
Semarang		ID	07	85
Stockholm		SE	26	83
Shiraz		IR	07	83
Suwon-si		KR	13	82
Santiago de los Caballeros		DO	25	80
Saitama		JP	34	79
Sofia		BG	42	76
Samara		RU	65	75
Sendai		JP	24	70
Seongnam-si		KR	13	68
Shivaji Nagar		IN	16	66
Solāpur	Solapur	IN	16	66
Srinagar		IN	12	65
Sulţānah	Sultanah	SA	05	63
San Jose		US	CA	63
São Luís	Sao Luis	BR	13	61
Sale		MA	49	60
Saratov		RU	67	57
San Francisco		US	CA	53
Sakai		JP	32	52
San Miguel de Tucumán	San Miguel de Tucuman	AR	24	52
Salem		IN	25	51
Shangyu		CN	02	51
São Bernardo do Campo	Sao Bernardo do Campo	BR	27	49
Subang Jaya		MY	12	47
Sevilla		ES	51	46
Shizuoka		JP	37	46
Santo Domingo Oeste		DO	37	46
Sarajevo		BA	01	46
San Luis Potosí	San Luis Potosi	MX	24	45
Santo André	Santo Andre	BR	27	44
Shaoguan		CN	30	41
Santiago de Querétaro	Santiago de Queretaro	MX	22	41
Saltillo		MX	07	41
São José dos Campos	Sao Jose dos Campos	BR	27	40
Seattle		US	WA	40
Sāngli	Sangli	IN	16	40
Situbondo		ID	08	40
Shuangyashan		CN	08	40
Scarborough		CA	08	40
Stuttgart		DE	01	39
Shihezi		CN	13	38
South Boston		US	MA	38
Sokoto		NG	51	37
Sorocaba		BR	27	37
Santiago de Cuba		CU	15	37
Siping		CN	05	37
Surakarta		ID	07	37
Sharjah		AE	06	36
Sargodha		PK	04	36
San Salvador		SV	10	35
Santa María Chimalhuacán	Santa Maria Chimalhuacan	MX	15	35
Shiliguri		IN	28	34
Salta		AR	17	34
Shashi		CN	12	33
Santa Fe de la Vera Cruz		AR	21	32
San Pedro Sula		HN	06	32
Suez		EG	15	32
Sahāranpur	Saharanpur	IN	36	32
Shah Alam		MY	12	32
Sialkot		PK	04	31
Skopje		MK	41	31
Staten Island		US	NY	31
Sacramento		US	CA	31
São João de Meriti	Sao Joao de Meriti	BR	21	30
Şanlıurfa	Sanliurfa	TR	63	29
San Juan		AR	18	29
Sheffield		GB	ENG	29
San Nicolás de los Garza	San Nicolas de los Garza	MX	19	29
Shyamnagar		IN	28	29
Sultangazi		TR	34	29
Santa Marta		CO	38	28
Shaoxing		CN	02	28
San Juan		PR	127	27
Sukkur		PK	05	27
Shymkent		KZ	10	27
Santos		BR	27	27
Shiyan		CN	12	27
Szczecin		PL	87	27
Surrey		CA	02	26
Serra		BR	08	26
Samsun		TR	55	26
Sandakan		MY	16	26
Samut Prakan		TH	42	25
Sector 3		RO	10	25
Sevastopol		UA	20	25
São José do Rio Preto	Sao Jose do Rio Preto	BR	27	24
Seremban		MY	05	24
Sector 6		RO	10	24
San Miguel Xico Viejo		MX	15	24
Stavropol’	Stavropol'	RU	70	24
Sheikhupura		PK	04	24
Simferopol		UA	11	23
San Jose del Monte		PH	03	23
Samarinda		ID	14	23
Santiago del Estero		AR	22	23
Suita		JP	32	23
Sanandaj		IR	16	23
Sector 2		RO	10	23
Soledad		CO	04	22
Shiqi		CN	30	22
San José	San Jose	CR	08	22
Soyapango		SV	10	21
Sochi		RU	38	21
Santa Ana		US	CA	21
São Vicente	Sao Vicente	BR	27	21
Suizhou		CN	12	21
San Miguelito		PA	08	21
Smolensk		RU	69	21
Shāhjānpur	Shahjanpur	IN	36	21
Shimoga		IN	19	21
Samarqand		UZ	10	21
St. Louis		US	MO	21
Shangrao		CN	03	21
Şişli	Sisli	TR	34	20
Soacha		CO	33	20
Sariwŏn	Sariwon	KP	07	20
Shengli		CN	25	20
San Salvador de Jujuy		AR	10	20
Saransk		RU	46	20
Surgut		RU	32	20
Santol		PH	03	19
Sumy		UA	21	19
Semey		KZ	15	19
Stockton		US	CA	19
Sétif	Setif	DZ	12	19
Safi		MA	51	19
Sinŭiju	Sinuiju	KP	11	19
Sector 4		RO	10	19
Sultanbeyli		TR	34	19
Saint Paul		US	MN	19
Suzano		BR	27	18
Santa Teresa		VE	15	18
Sfax		TN	32	18
Sukabumi		ID	30	18
Strasbourg		FR	44	18
Sector 5		RO	10	18
San Pedro		PH	40	18
Sterlitamak		RU	08	17
Sumqayıt	Sumqayit	AZ	54	17
Sivas		TR	58	17
Sincelejo		CO	27	17
Stoke-on-Trent		GB	ENG	17
Satna		IN	35	17
Sari		IR	35	17
Soledad de Graciano Sánchez	Soledad de Graciano Sanchez	MX	24	17
Santa Catarina		MX	19	16
Suihua		CN	08	16
Santiago de Surco		PE	15	16
San Fernando		PH	03	16
Sonīpat	Sonipat	IN	10	16
Santa Clara		CU	16	16
San Bernardo		CL	12	16
Santa Maria		BR	23	16
Saugor		IN	35	16
San Cristóbal	San Cristobal	VE	20	16
Southampton		GB	ENG	16
Shimonoseki		JP	45	16
Saint Petersburg		US	FL	16
Santa Luzia		BR	15	16
Sancaktepe		TR	34	16
Seeb		OM	06	15
Sasebo		JP	27	15
Sylhet		BD	86	15
Sahiwal		PK	04	15
Sōka	Soka	JP	34	15
Suncheon		KR	16	15
Syktyvkar		RU	34	15
Sungai Petani		MY	02	15
Sumaré	Sumare	BR	27	15
San Lorenzo		PY	06	15
Sosnowiec		PL	83	15
Staryy Oskol		RU	09	15
Shrīrāmpur	Shrirampur	IN	28	15
Sabzevar		IR	42	15
Sector 1		RO	10	15
Sucre		BO	01	14
Santa Cruz de Tenerife		ES	53	14
Shakhty		RU	61	14
Sant Martí	Sant Marti	ES	56	14
San Pedro de Macorís	San Pedro de Macoris	DO	24	14
Scottsdale		US	AZ	14
Santa Rosa		PH	40	14
Shagamu		NG	16	14
Sepang		MY	12	14
San Bernardino		US	CA	13
Sanming		CN	07	13
Sohag		EG	24	13
São Leopoldo	Sao Leopoldo	BR	23	13
Spokane		US	WA	13
Sirjan		IR	29	13
San Pablo		PH	40	13
Sumedang Utara		ID	00	13
Sabadell		ES	56	13
Suzhou		CN	01	13
São Carlos	Sao Carlos	BR	27	13
Secunderabad		IN	40	13
Sete Lagoas		BR	15	13
Santo Domingo de los Colorados		EC	26	13
Severnyy		RU	48	13
Shahkot		PK	04	13
São José	Sao Jose	BR	26	13
Sīkar	Sikar	IN	24	13
Saidpur		BD	83	13
Shreveport		US	LA	13
Saskatoon		CA	11	13
Sibu		MY	11	13
San-Pédro	San-Pedro	CI	76	13
Sambhal		IN	36	13
Severodvinsk		RU	06	12
Soledad Díez Gutiérrez	Soledad Diez Gutierrez	MX	24	12
Sidi Bel Abbès	Sidi Bel Abbes	DZ	30	12
Suzuka		JP	23	12
Sādiqābād	Sadiqabad	PK	04	12
Sunrise Manor		US	NV	12
Syzran’	Syzran'	RU	65	12
Santarém	Santarem	BR	16	12
San Fernando del Valle de Catamarca		AR	02	12
Santa Bárbara d'Oeste	Santa Barbara d'Oeste	BR	27	12
Sutton		GB	ENG	12
Salt Lake City		US	UT	12
Springs		ZA	06	12
Shibīn al Kawm	Shibin al Kawm	EG	09	12
Singrauli		IN	35	12
Donostia / San Sebastián	San Sebastian	ES	59	12
San Luis		AR	19	12
Sūjāngarh	Sujangarh	IN	24	12
Santander		ES	39	12
Sakura		JP	04	12
Sirsa		IN	10	12
Saarbrücken	Saarbruecken	DE	09	12
Shangqiu		CN	09	12
Surendranagar		IN	09	11
Si Racha		TH	46	11
Saki		NG	32	11
Spring Valley		US	NV	11
Sunderland		GB	ENG	11
Sittwe		MM	01	11
Sants-Montjuïc	Sants-Montjuic	ES	56	11
Santa Ana		SV	11	11
Santa Clarita		US	CA	11
Split		HR	15	11
Saint-Étienne	Saint-Etienne	FR	84	11
Saint-Louis		SN	14	11
Sāveh	Saveh	IR	34	11
Siverek		TR	63	11
San Pablo de las Salinas		MX	15	11
Shimla		IN	11	11
Salatiga		ID	07	11
Swansea		GB	WLS	11
Santa Rosa		US	CA	11
Shanwei		CN	30	11
Saga		JP	33	11
Szeged		HU	06	10
Serang		ID	33	10
Sītāpur	Sitapur	IN	36	10
