Ürümqi	UEruemqi	CN	13	201
Ufa		RU	08	68
Ulsan		KR	21	64
Ulan Bator		MN	20	56
Ulyanovsk		RU	81	42
Üsküdar	UEskuedar	TR	34	38
Umraniye		TR	34	38
Uberlândia	Uberlandia	BR	15	37
Ulhasnagar		IN	16	34
Uijeongbu-si		KR	13	31
Ujjain		IN	35	30
Utsunomiya		JP	38	29
Uyo		NG	21	29
Udaipur		IN	24	28
Ulan-Ude		RU	11	24
Ust-Kamenogorsk		KZ	15	21
Utrecht		NL	09	19
Umuahia		NG	45	17
Uberaba		BR	15	17
Udon Thani		TH	76	16
Uruapan		MX	16	15
Uitenhage		ZA	05	15
Ugep		NG	22	13
Uji		JP	22	12
Ube		JP	45	11
Uvira		CD	12	11
Ulanhot		CN	20	11
Unaizah		SA	08	10
Unnāo	Unnao	IN	36	10
Ussuriysk		RU	59	10
Uşak	Usak	TR	64	10
Urganch		UZ	05	10
Ursynów	Ursynow	PL	78	9
Urayasu		JP	40	9
Usera		ES	29	9
Udipi		IN	19	8
Ungaran		ID	07	8
Uppsala		SE	21	8
Ueda		JP	26	8
Uruguaiana		BR	23	8
Ubon Ratchathani		TH	75	8
Ulm		DE	01	8
Uppal Kalan		IN	40	7
Uzhhorod		UA	25	7
Uromi		NG	37	7
Umm Qaşr	Umm Qasr	IQ	02	7
Universal City		US	CA	7
Ukhta		RU	34	6
Udgīr	Udgir	IN	16	6
Urdaneta		PH	01	6
Ust’-Ilimsk	Ust'-Ilimsk	RU	20	6
Ubá	Uba	BR	15	6
Udine		IT	06	6
Ushirombo		TZ	28	6
Ústí nad Labem	Usti nad Labem	CZ	89	6
Umuarama		BR	18	5
Uman’	Uman'	UA	01	5
Usol’ye-Sibirskoye	Usol'ye-Sibirskoye	RU	20	5
Ungsang		KR	20	5
Udhampur		IN	12	5
Ushiku		JP	14	5
Ughelli		NG	36	5
Ubatuba		BR	27	5
Ünye	UEnye	TR	52	5
Ulu Tiram		MY	01	5
Umeå	Umea	SE	23	4
Upland		US	CA	4
Upington		ZA	08	4
Union City		US	CA	4
Unna		DE	07	4
Union City		US	NJ	4
Uga		NG	25	4
Užice	Uzice	RS	SE	4
Utica		US	NY	4
Ueno-ebisumachi		JP	23	4
Uyovu		TZ	28	4
Ualog		PH	06	4
Unaí	Unai	BR	15	4
Uíge	Uige	AO	15	4
Ullal		IN	19	3
Uwajima		JP	05	3
Udumalaippettai		IN	25	3
Uzlovaya		RU	76	3
Uttaradit		TH	10	3
Ushuaia		AR	23	3
Union		US	NJ	3
Una		IN	09	3
Upleta		IN	09	3
Ujhāni	Ujhani	IN	36	3
Umm Ruwaba		SD	56	3
Uritsk		RU	66	3
Unjha		IN	09	3
Upata		VE	06	3
Usulután	Usulutan	SV	14	3
Umred		IN	16	3
Utrera		ES	51	3
Ŭiju	Uiju	KP	11	3
Untolovo		RU	42	3
Uriangato		MX	11	3
União da Vitória	Uniao da Vitoria	BR	18	3
Uttar Char Fasson		BD	82	3
Ust’-Kut	Ust'-Kut	RU	20	3
Urgut		UZ	10	3
