Yangon		MM	17	298
Yokohama		JP	19	238
Yunfu		CN	30	174
Yekaterinburg		RU	71	89
Yaoundé	Yaounde	CM	11	86
Yueyang		CN	11	80
Yerevan		AM	11	72
Yono		JP	34	71
Yantai		CN	25	47
Yogyakarta		ID	10	42
Yancheng		CN	04	41
Yaroslavl		RU	88	40
Yingkou		CN	19	39
Yangzhou		CN	04	35
Yazd		IR	40	31
Yichang		CN	12	31
Yinchuan		CN	21	31
Yokosuka		JP	19	28
Yangquan		CN	24	27
Yangjiang		CN	30	26
Yanji		CN	05	21
Yangshuo		CN	16	20
Yokkaichi		JP	23	19
Yeosu		KR	16	19
Yoshkar-Ola		RU	45	18
Yao		JP	32	18
Yamagata		JP	44	16
Yibin		CN	32	16
Yuci		CN	24	15
Yakutsk		RU	63	15
Yamunānagar	Yamunanagar	IN	10	13
Yiyang		CN	11	13
Yuncheng		CN	24	13
Yanbu		SA	05	13
Yonkers		US	NY	13
Yamoussoukro		CI	81	12
Yasenevo		RU	48	12
Yangju		KR	13	11
Yuzhno-Sakhalinsk		RU	64	11
Yichun		CN	08	10
Yangchun		CN	30	10
Yichun		CN	03	10
Yulin		CN	16	9
Yamaguchi		JP	45	9
York		GB	ENG	9
Yuen Long Kau Hui		HK	NYL	9
Yonago		JP	41	9
Yavatmāl	Yavatmal	IN	16	8
Yushu		CN	05	8
Yaizu		JP	37	8
Yelahanka		IN	19	7
Yakeshi		CN	20	7
Yelets		RU	43	7
Yuyao		CN	02	7
Yenangyaung		MM	15	7
Yên Vinh	Yen Vinh	VN	58	7
Yevpatoriya		UA	11	7
Yatsushiro		JP	21	6
Yenakiyeve		UA	05	6
Yuxi		CN	29	6
Yafo		IL	05	6
Yasuj		IR	05	6
Yên Bái	Yen Bai	VN	70	6
Yola		NG	35	6
Yicheng		CN	04	6
Yonezawa		JP	44	6
Yongchuan		CN	33	6
Yilan		TW	04	6
Yishui		CN	25	6
Yala		TH	70	6
Yuma		US	AZ	6
Yatou		CN	25	6
Yakima		US	WA	6
Yaroslavskiy		RU	48	6
Yulin		CN	26	6
Yaritagua		VE	22	5
Yiwu		CN	02	5
Yingchuan		CN	09	5
Yozgat		TR	66	5
Yeysk		RU	38	5
Yanjiang		CN	32	5
Yotsukaidō	Yotsukaido	JP	04	5
Yegor’yevsk	Yegor'yevsk	RU	47	5
Yurga		RU	29	5
Yangp'yŏng	Yangp'yong	KR	13	5
Yachimata		JP	04	5
Yuanping		CN	24	5
Yacuiba		BO	09	5
Yima		CN	09	5
Yudong		CN	33	5
Yashio-shi		JP	34	5
Yessentuki		RU	70	5
Yagoua		CM	12	5
Yambol		BG	65	5
Yalta		UA	11	5
Yanta		CN	25	5
Youhao		CN	08	5
Yanzhou		CN	25	5
Yuktae-dong		KP	03	5
Yangliuqing		CN	28	5
Yinzhu		CN	25	5
Yanggu		CN	25	4
Yunyang		CN	09	4
Yelabuga		RU	73	4
Yangsan		KR	20	4
Yüksekova	Yuksekova	TR	70	4
Yawata		JP	22	4
Yumbo		CO	29	4
Yalova		TR	92	4
Yukuhashi		JP	07	4
Yilan		CN	08	4
Yongfeng		CN	11	4
Yafran		LY	80	4
Youngstown		US	OH	4
Yebaishou		CN	19	4
Yādgīr	Yadgir	IN	19	4
Yuba City		US	CA	4
Youssoufia		MA	51	4
Yunmeng Chengguanzhen		CN	12	4
Yorba Linda		US	CA	4
Yangcun		CN	28	4
Yucheng		CN	25	4
Yingshang Chengguanzhen		CN	01	4
Yopal		CO	32	4
Yicheng		CN	12	4
Yanliang		CN	26	4
Yoshikawa		JP	34	4
Yuxia		CN	26	4
Yangiyŭl	Yangiyul	UZ	14	4
Yamethin		MM	08	3
Yigou		CN	09	3
Yevlakh		AZ	68	3
Yantongshan		CN	05	3
Yashan		CN	16	3
Yutan		CN	11	3
Yartsevo		RU	69	3
Yūki	Yuki	JP	14	3
Yucaipa		US	CA	3
Yerba Buena		AR	24	3
Yeola		IN	16	3
Yefremov		RU	76	3
Youkaichi		JP	35	3
Yellandu		IN	40	2
Yeovil		GB	ENG	2
York		US	PA	2
Yendi		GH	06	2
Yaguajay		CU	14	2
Yurimaguas		PE	16	2
Yuta		PS	WE	2
Yautepec		MX	17	2
Yelizovo		RU	92	2
Yabrūd	Yabrud	SY	08	2
Yanagawa		JP	07	2
Yambio		SS	10	2
Yei		SS	01	2
Yagry		RU	06	2
Yuzhnoukrains'k		UA	16	2
Yesan		KR	17	2
Yuzhnoural’sk	Yuzhnoural'sk	RU	13	2
Yokotemachi		JP	02	2
Yalvaç	Yalvac	TR	33	2
Yorii		JP	34	2
Yolöten	Yoloeten	TM	05	2
Yasynuvata		UA	05	2
Yeoju		KR	13	2
Yeadon		GB	ENG	2
Yanam		IN	02	2
Yirga ‘Alem	Yirga `Alem	ET	54	2
Yaita		JP	38	2
Yalutorovsk		RU	78	2
Yangambi		CD	09	2
Yerköy	Yerkoy	TR	66	2
Yecla		ES	31	2
Yuzawa		JP	02	2
Yarīm	Yarim	YE	23	2
Yāval	Yaval	IN	16	2
Yōkaichiba	Yokaichiba	JP	04	2
Yangiyer		UZ	16	2
Yubileyny		RU	47	2
Yamaga		JP	21	2
Yanai		JP	45	2
Yeşilli	Yesilli	TR	72	2
Yamoto		JP	24	2
Yavné	Yavne	IL	02	2
Yaring		TH	69	2
Yugorsk		RU	32	2
Ypenburg		NL	11	2
Yanamalakuduru		IN	02	2
Yemanzhelinsk		RU	13	1
Yasugichō	Yasugicho	JP	36	1
Yara		CU	09	1
Yerres		FR	11	1
Yakuplu		TR	34	1
Yenişehir	Yenisehir	TR	16	1
Yangiqo‘rg‘on	Yangiqo`rg`on	UZ	06	1
Yanaul		RU	08	1
Yaguachi Nuevo		EC	10	1
Yugawara		JP	19	1
Yong Peng		MY	01	1
Yylanly		TM	03	1
Yoshii		JP	10	1
Yehud		IL	02	1
Yoshida-kasugachō	Yoshida-kasugacho	JP	29	1
Yarmouth		US	MA	1
Yamazakichō-nakabirose	Yamazakicho-nakabirose	JP	13	1
Yablonovskiy		RU	01	1
Yangirabot		UZ	07	1
Yahyalı	Yahyali	TR	38	1
Yŏnmu	Yonmu	KR	17	1
Yuzhne		UA	17	1
Yangiobod		UZ	14	1
Yazman		PK	04	1
Yenagoa		NG	52	1
Yumbe		UG	N	1
Yŏng-dong	Yong-dong	KR	05	1
Ytrebygda		NO	07	1
Yanggu		KR	06	1
Yurécuaro	Yurecuaro	MX	16	1
Yverdon-les-Bains		CH	VD	1
Yershov		RU	67	1
Yanacancha		PE	10	1
Yako		BF	10	1
Yoichi		JP	12	1
Yahotyn		UA	13	1
Yukon		US	OK	1
Yŏnan-ŭp	Yonan-up	KP	06	1
Yarumal		CO	02	1
Yatsuomachi-higashikumisaka		JP	42	1
Ylöjärvi	Yloejaervi	FI	06	1
Yŏnggwang-ŭp	Yonggwang-up	KP	03	1
Yate		GB	ENG	1
Yuriria		MX	11	1
Yasothon		TH	72	1
Yashiro		JP	13	1
Yanykurgan		KZ	14	1
Yarovoye		RU	04	1
Yanagawamachi-saiwaichō	Yanagawamachi-saiwaicho	JP	08	1
Yucca Valley		US	CA	1
Yigo Village		GU	YG	1
Yaypan		UZ	03	1
Yauco		PR	153	1
Yateley		GB	ENG	1
Yamada		JP	16	1
Yessentukskaya		RU	70	1
Yeniseysk		RU	91	1
Yur’yev-Pol’skiy	Yur'yev-Pol'skiy	RU	83	1
Yomra		TR	61	1
Yaransk		RU	33	1
Yuzhnyy		RU	04	1
Ypsilanti		US	MI	1
Yellāpur	Yellapur	IN	19	1
Yelizavetinskaya		RU	38	1
Yatağan	Yatagan	TR	48	1
Yasnogorsk		RU	76	1
Yegorlykskaya		RU	61	1
Yabēlo	Yabelo	ET	51	1
Yelenendorf		AZ	62	1
Yovon		TJ	02	1
Yorosso		ML	06	1
Yasnyy		RU	55	1
Ystad		SE	27	1
Yuza		JP	44	1
Yorkville		US	IL	1
Yecapixtla		MX	17	1
Yanqul		OM	09	1
Yujing		TW	04	1
