Zhengzhou		CN	09	283
Zibo		CN	25	208
Zhongshan		CN	30	208
Zhu Cheng City		CN	25	66
Zapopan		MX	14	65
Zaria		NG	23	65
Zagreb - Centar		HR	21	53
Zaporizhzhya		UA	26	53
Zarqa		JO	17	52
Zhumadian		CN	09	48
Zhuzhou		CN	11	47
Zagreb		HR	21	46
Zhangjiakou		CN	10	46
Zigong		CN	32	45
Zaragoza		ES	52	44
Zhanjiang		CN	30	42
Zhenjiang		CN	04	42
Zhangzhou		CN	07	39
Zahedan		IR	04	36
Zhuhai		CN	30	33
Zunyi		CN	18	31
Zamboanga		PH	09	30
Zanzibar		TZ	25	26
Zhoukou		CN	09	25
Zhangjiakou Shi Xuanhua Qu		CN	10	24
Zhaoqing		CN	30	24
Zanjān	Zanjan	IR	36	23
Zürich	Zurich	CH	ZH	22
Zeytinburnu		TR	34	19
Zagazig		EG	14	19
Zhytomyr		UA	27	18
Zelenograd		RU	48	14
Zabrze		PL	83	12
Zinder		NE	07	12
Zlatoust		RU	13	12
Zoucheng		CN	25	12
Zawiya		LY	68	12
Zaoyang		CN	12	12
Zaozhuang		CN	25	12
Zhenzhou		CN	04	11
Zenica		BA	01	10
Ziguinchor		SN	12	10
Zhicheng		CN	12	10
Zemun		RS	SE	10
Zhaodong		CN	08	10
Zhulebino		RU	48	10
Zheleznodorozhnyy		RU	47	9
Zaanstad		NL	07	9
Zama		JP	19	8
Zalantun		CN	20	8
Zyablikovo		RU	48	8
Zamora		MX	16	8
Zhoucun		CN	25	8
Zābol	Zabol	IR	04	8
Zyuzino		RU	48	8
Zacatecas		MX	32	7
Zielona Góra	Zielona Gora	PL	76	7
Zoetermeer		NL	11	7
Zwolle		NL	15	7
Zhuji		CN	02	7
Zliten		LY	72	7
Zhaotong		CN	29	7
Zhongxiang		CN	12	7
Zhezqazghan		KZ	12	6
Zhanaozen		KZ	09	6
Zonguldak		TR	85	6
Zelenodolsk		RU	73	6
Zwickau		DE	13	6
Zheleznogorsk		RU	41	6
Zhukovskiy		RU	47	6
Zhangye		CN	15	6
Zaxo		IQ	08	6
Zheleznogorsk		RU	91	6
Zhengjiatun		CN	05	6
Ziftá	Zifta	EG	05	6
Zhongshu		CN	29	6
Zipaquirá	Zipaquira	CO	33	6
Zárate	Zarate	AR	01	5
Zhaogezhuang		CN	10	5
Zhangjiajie		CN	11	5
Žilina	Zilina	SK	08	5
Zhoushan		CN	02	5
Zomba		MW	S	5
Zhuanghe		CN	19	5
Zrenjanin		RS	VO	5
Zarzis		TN	28	5
Zhuangyuan		CN	25	5
Zapadnoye Degunino		RU	48	5
Zlín	Zlin	CZ	90	5
Zahlé	Zahle	LB	08	5
Zhlobin		BY	02	4
Zugdidi		GE	71	4
Zhoucheng		CN	25	4
Zaandam		NL	07	4
Zelenogorsk		RU	91	4
Zadar		HR	19	4
Zográfos	Zografos	GR	ESYE31	4
Zhenlai		CN	05	4
Zamora		ES	55	4
Zhangjiagang		CN	04	4
Zamość	Zamosc	PL	75	4
Zhicheng		CN	02	4
Zarechnyy		RU	57	4
Zalău	Zalau	RO	31	4
Żory	Zory	PL	83	4
Zhaozhou		CN	08	4
Zarechnyy		RU	57	4
Zhaobaoshan		CN	02	4
Zalaegerszeg		HU	24	4
Zeist		NL	09	4
Zhijiang		CN	12	4
Zushi		JP	19	4
Zhujiajiao		CN	23	4
Zhaoyuan		CN	08	3
Zarand		IR	29	3
Zehlendorf	Zehlendorf Bezirk	DE	16	3
Zgierz		PL	74	3
Zhongxing		CN	04	3
Zhigulevsk		RU	65	3
Zijinglu		CN	09	3
Zile		TR	60	3
Zamoskvorech’ye	Zamoskvorech'ye	RU	48	3
Zürich (Kreis 11)	Zuerich (Kreis 11)	CH	ZH	3
Zawiercie		PL	83	3
Zabīd	Zabid	YE	08	3
Zarinsk		RU	04	3
Zhovti Vody		UA	04	3
Żoliborz	Zoliborz	PL	78	3
Zumpango		MX	15	3
Zhob		PK	02	3
Zacapú	Zacapu	MX	16	3
Zaranj		AF	19	3
Zaječar	Zajecar	RS	SE	3
Ziway		ET	51	3
Zahirābād	Zahirabad	IN	40	3
Zürich (Kreis 3)	Zuerich (Kreis 3)	CH	ZH	3
Zwijndrecht		NL	11	3
Zuwārah	Zuwarah	LY	67	3
Zyryanovsk		KZ	15	2
Zürich (Kreis 9)	Zuerich (Kreis 9)	CH	ZH	2
Zduńska Wola	Zdunska Wola	PL	74	2
Zvolen		SK	01	2
Zouila		TN	15	2
Zavolzh’ye	Zavolzh'ye	RU	51	2
Zainsk		RU	73	2
Zaraza		VE	12	2
Zelenokumsk		RU	70	2
Zagreb- Stenjevec		HR	21	2
Żyrardów	Zyrardow	PL	78	2
Zacatecoluca		SV	06	2
Żary	Zary	PL	76	2
Zacatelco		MX	29	2
Zouerate		MR	11	2
Zürich (Kreis 10)	Zuerich (Kreis 10)	CH	ZH	2
Zutphen		NL	03	2
Zacapa		GT	22	2
Zhmerynka		UA	23	2
Zvishavane		ZW	08	2
Znojmo		CZ	78	2
Zweibrücken	Zweibruecken	DE	08	2
Zagora		MA	55	2
Zuénoula	Zuenoula	CI	83	2
Zharkent		KZ	01	2
Zāhir Pīr	Zahir Pir	PK	04	2
Zürich (Kreis 7)	Zuerich (Kreis 7)	CH	ZH	2
Zhangatas		KZ	17	2
Zaidpur		IN	36	2
Zima		RU	20	2
Zgorzelec		PL	72	2
Żywiec	Zywiec	PL	83	2
Zamānia	Zamania	IN	36	2
Znamensk		RU	07	2
Zacatlán	Zacatlan	MX	21	2
Zapala		AR	15	2
Zira		IN	23	2
Zaïo	Zaio	MA	54	2
Zagor’ye	Zagor'ye	RU	48	2
Zürich (Kreis 6)	Zuerich (Kreis 6)	CH	ZH	1
Zunheboto		IN	20	1
Zeitz		DE	14	1
Zernograd		RU	61	1
Zürich (Kreis 2)	Zuerich (Kreis 2)	CH	ZH	1
Zapotlanejo		MX	14	1
Zarzal		CO	29	1
Zalingei		SD	61	1
Zheleznogorsk-Ilimskiy		RU	20	1
Znomenka		UA	10	1
Zürich (Kreis 9) / Altstetten	Zuerich (Kreis 9) / Altstetten	CH	ZH	1
Zürich (Kreis 12)	Zuerich (Kreis 12)	CH	ZH	1
Zaventem		BE	VLG	1
Zarechnyy		RU	71	1
Zolotonosha		UA	01	1
Zakopane		PL	77	1
Zürich (Kreis 4) / Aussersihl	Zuerich (Kreis 4) / Aussersihl	CH	ZH	1
Zomin		UZ	15	1
Zarya		RU	47	1
Zeya		RU	05	1
Zaida		PK	03	1
Zaltbommel		NL	03	1
Żagań	Zagan	PL	76	1
Zevenaar		NL	03	1
Zestap’oni	Zestap'oni	GE	66	1
Zittau		DE	13	1
Zirndorf		DE	02	1
Zavodoukovsk		RU	78	1
Zwedru		LR	19	1
Zhongxing New Village		TW	04	1
Zanesville		US	OH	1
Желино	Zhelino	MK	C3	1
Zverevo		RU	61	1
Zărnești	Zarnesti	RO	09	1
Zafar		UZ	14	1
Zaraysk		RU	47	1
Zheleznovodsk		RU	70	1
Zungeru		NG	31	1
Zottegem		BE	VLG	1
Zion		US	IL	1
Zuru		NG	40	1
Žďár nad Sázavou	Zd'ar nad Sazavou	CZ	80	1
Žďár nad Sázavou Druhy	Zd'ar nad Sazavou Druhy	CZ	80	1
Zorgo		BF	11	1
Zdolbuniv		UA	19	1
Ząbki	Zabki	PL	78	1
Zug		CH	ZG	1
Zwevegem		BE	VLG	1
Zeribet el Oued		DZ	19	1
Zafarwāl	Zafarwal	PK	04	1
Zambrów	Zambrow	PL	81	1
Zarautz		ES	59	1
Zolochiv		UA	15	1
Zapotiltic		MX	14	1
Zhouzhuang		CN	04	1
Zedelgem		BE	VLG	1
Zemoura		DZ	51	1
Zacatepec		MX	17	1
Zabrat		AZ	09	1
Zumpango del Río	Zumpango del Rio	MX	12	1
Zelenchukskaya		RU	27	1
Zemst		BE	VLG	1
Zürich (Kreis 3) / Sihlfeld	Zuerich (Kreis 3) / Sihlfeld	CH	ZH	1
Zoersel		BE	VLG	1
Zundert		NL	06	1
Zele		BE	VLG	1
Zulpich		DE	07	1
Zhosaly		KZ	14	1
Zürich (Kreis 6) / Unterstrass	Zuerich (Kreis 6) / Unterstrass	CH	ZH	1
Zonhoven		BE	VLG	1
Zinjibār	Zinjibar	YE	01	1
Zhukovka		RU	10	1
Žatec	Zatec	CZ	89	1
Žiar nad Hronom	Ziar nad Hronom	SK	01	1
Zvenyhorodka		UA	01	1
Zuhres		UA	05	1
Zeewolde		NL	16	1
Zaragoza		CO	02	1
Złotów	Zlotow	PL	86	1
Zaqatala		AZ	70	1
Zwijndrecht		BE	VLG	1
Zürich (Kreis 11) / Oerlikon	Zuerich (Kreis 11) / Oerlikon	CH	ZH	1
Zhirnovsk		RU	84	1
Zürich (Kreis 11) / Seebach	Zuerich (Kreis 11) / Seebach	CH	ZH	1
Zubia		ES	51	1
Zapolyarnyy		RU	49	1
Zeerust		ZA	10	1
Zalţan	Zaltan	LY	67	1
Zimovniki		RU	61	1
Зуунмод	Zuunmod	MN	18	1
Zaprešić	Zapresic	HR	20	1
Zaysan		KZ	15	1
Zeralda		DZ	55	1
Zielonka		PL	78	1
Zürich (Kreis 11) / Affoltern	Zuerich (Kreis 11) / Affoltern	CH	ZH	1
Zossen		DE	11	1
Zürich (Kreis 10) / Höngg	Zuerich (Kreis 10) / Hoengg	CH	ZH	1
Zacualtipán	Zacualtipan	MX	13	1
Zvečan	Zvecan	XK	10097358	1
Zaghouan		TN	37	1
Zarumilla		PE	24	1
Zandvoort		NL	07	1
Złotoryja	Zlotoryja	PL	72	1
Zürich (Kreis 9) / Albisrieden	Zuerich (Kreis 9) / Albisrieden	CH	ZH	1
Zacoalco de Torres		MX	14	1
Zafra		ES	57	1
Zvenigorod		RU	47	1
Ząbkowice Śląskie	Zabkowice Slaskie	PL	72	1
Zmiyiv		UA	07	1
Zürich (Kreis 2) / Wollishofen	Zuerich (Kreis 2) / Wollishofen	CH	ZH	1
Zherdevka		RU	72	1
Zola Predosa		IT	05	1
Zürich (Kreis 10) / Wipkingen	Zuerich (Kreis 10) / Wipkingen	CH	ZH	1
Zerbst		DE	14	1
Zlaté Moravce	Zlate Moravce	SK	04	1
Zürich (Kreis 8)	Zuerich (Kreis 8)	CH	ZH	1
Zamora		EC	20	1
Zhashkiv		UA	01	1
Zimnicea		RO	35	1
Żabbar	Zabbar	MT	64	1
